length_of_stay,age,irisk,culture_ratio,xray_ratio,beds,school,region,patients,nurses,services
11.03,49.9,5.0,19.7,102.1,318,0.0,northeast,270,335,57.1
9.84,53.0,5.2,17.7,72.6,210,0.0,northcentral,200,239,54.3
11.77,54.1,5.3,17.3,56.0,196,0.0,northeast,164,165,34.3
13.59,54.0,6.1,24.2,111.7,312,0.0,northeast,258,169,54.3
9.74,54.4,6.3,11.4,76.1,221,0.0,northcentral,170,172,54.3
10.33,55.8,5.0,21.2,104.3,266,0.0,northeast,181,149,54.3
9.97,58.2,2.8,16.5,76.5,90,0.0,northcentral,69,42,34.3
7.84,49.1,4.6,7.1,87.9,60,0.0,south,50,45,34.3
10.47,53.2,4.1,5.7,69.1,196,0.0,northcentral,168,153,54.3
8.16,60.9,1.3,1.9,58.0,73,0.0,south,49,21,14.3
8.48,51.1,3.7,12.1,92.8,166,0.0,south,145,118,34.3
10.72,53.8,4.7,23.2,94.1,113,0.0,south,90,107,34.3
11.2,45.0,3.0,7.0,78.9,130,0.0,south,95,56,34.3
10.12,51.7,5.6,14.9,79.1,362,1.0,south,313,264,54.3
8.37,50.7,5.5,15.1,84.8,115,0.0,northcentral,96,88,34.3
10.16,54.2,4.6,8.4,51.5,831,1.0,west,581,629,74.3
19.56,59.9,6.5,17.2,113.7,306,0.0,northeast,273,172,51.4
10.9,57.2,5.5,10.6,71.9,593,0.0,northcentral,446,211,51.4
7.67,51.7,1.8,2.5,40.4,106,0.0,south,93,35,11.4
8.88,51.5,4.2,10.1,86.9,305,0.0,south,238,197,51.4
11.48,57.6,5.6,20.3,82.0,252,0.0,northeast,207,251,51.4
9.23,51.6,4.3,11.6,42.6,620,0.0,northcentral,413,420,71.4
11.41,61.1,7.6,16.6,97.9,535,0.0,south,330,273,51.4
12.07,43.7,7.8,52.4,105.3,157,0.0,northcentral,115,76,31.4
8.63,54.0,3.1,8.4,56.2,76,0.0,northeast,39,44,31.4
11.15,56.5,3.9,7.7,73.9,281,0.0,northeast,217,199,51.4
7.14,59.0,3.7,2.6,75.8,70,0.0,west,37,35,31.4
7.65,47.1,4.3,16.4,65.7,318,0.0,west,265,314,51.4
10.73,50.6,3.9,19.3,101.0,445,1.0,northcentral,374,345,51.4
11.46,56.9,4.5,15.6,97.7,191,0.0,south,153,132,31.4
10.42,58.0,3.4,8.0,59.0,119,0.0,northeast,67,64,31.4
11.18,51.0,5.7,18.8,55.9,595,1.0,northcentral,546,392,68.6
7.93,64.1,5.4,7.5,98.1,68,0.0,west,42,49,28.6
9.66,52.1,4.4,9.9,98.3,83,0.0,northcentral,66,95,28.6
7.78,45.5,5.0,20.9,71.6,489,0.0,south,391,329,48.6
9.42,50.6,4.3,24.8,62.8,508,0.0,northeast,421,528,48.6
10.02,49.5,4.4,8.3,93.0,265,0.0,northcentral,191,202,48.6
8.58,55.0,3.7,7.4,95.9,304,0.0,south,248,218,48.6
9.61,52.4,4.5,6.9,87.2,487,0.0,south,404,220,48.6
8.03,54.2,3.5,24.3,87.3,97,0.0,northeast,65,55,28.6
7.39,51.0,4.2,14.6,88.4,72,0.0,northcentral,38,67,28.6
7.08,52.0,2.0,12.3,56.4,87,0.0,south,52,57,28.6
9.53,51.5,5.2,15.0,65.7,298,0.0,south,241,193,48.6
10.05,52.0,4.5,36.7,87.5,184,1.0,northeast,144,151,68.6
8.45,38.8,3.4,12.9,85.0,235,0.0,northcentral,143,124,48.6
6.7,48.6,4.5,13.0,80.8,76,0.0,west,51,79,28.6
8.9,49.7,2.9,12.7,86.9,52,0.0,northeast,37,35,28.6
10.23,53.2,4.9,9.9,77.9,752,1.0,northcentral,595,446,68.6
8.88,55.8,4.4,14.1,76.8,237,0.0,northcentral,165,182,48.6
10.3,59.6,5.1,27.8,88.9,175,0.0,northcentral,113,73,45.7
10.79,44.2,2.9,2.6,56.6,461,1.0,northcentral,320,196,65.7
7.94,49.5,3.5,6.2,92.3,195,0.0,northcentral,139,116,45.7
7.63,52.1,5.5,11.6,61.1,197,0.0,west,109,110,45.7
8.77,54.5,4.7,5.2,47.0,143,0.0,west,85,87,25.7
8.09,56.9,1.7,7.6,56.9,92,0.0,south,61,61,45.7
9.05,51.2,4.1,20.5,79.8,195,0.0,south,127,112,45.7
7.91,52.8,2.9,11.9,79.5,477,0.0,south,349,188,65.7
10.39,54.6,4.3,14.0,88.3,353,0.0,northcentral,223,200,65.7
9.36,54.1,4.8,18.3,90.6,165,0.0,northeast,127,158,45.7
11.41,50.4,5.8,23.8,73.0,424,1.0,south,359,335,45.7
8.86,51.3,2.9,9.5,87.5,100,0.0,south,65,53,25.7
8.93,56.0,2.0,6.2,72.5,95,0.0,south,59,56,25.7
8.92,53.9,1.3,2.2,79.5,56,0.0,northcentral,40,14,5.7
8.15,54.9,5.3,12.3,79.8,99,0.0,west,55,71,25.7
9.77,50.2,5.3,15.7,89.7,154,0.0,northcentral,123,148,25.7
8.54,56.1,2.5,27.0,82.5,98,0.0,northeast,57,75,45.7
8.66,52.8,3.8,6.8,69.5,246,0.0,south,178,177,45.7
12.01,52.8,4.8,10.8,96.9,298,0.0,northeast,237,115,45.7
7.95,51.8,2.3,4.6,54.9,163,0.0,south,128,93,42.9
10.15,51.9,6.2,16.4,59.2,568,1.0,south,452,371,62.9
9.76,53.2,2.6,6.9,80.1,64,0.0,west,47,55,22.9
9.89,45.2,4.3,11.8,108.7,190,0.0,northeast,141,112,42.9
7.14,57.6,2.7,13.1,92.6,92,0.0,west,40,50,22.9
13.95,65.9,6.6,15.6,133.5,356,0.0,northeast,308,182,62.9
9.44,52.5,4.5,10.9,58.5,297,0.0,south,230,263,42.9
10.8,63.9,2.9,1.6,57.4,130,0.0,south,69,62,22.9
7.14,51.7,1.4,4.1,45.7,115,0.0,south,90,19,22.9
8.02,55.0,2.1,3.8,46.5,91,0.0,northcentral,44,32,22.9
11.8,53.8,5.7,9.1,116.9,571,1.0,northcentral,441,469,62.9
9.5,49.3,5.8,42.0,70.9,98,0.0,south,68,46,22.9
7.7,56.9,4.4,12.2,67.9,129,0.0,west,85,136,62.9
17.94,56.2,5.9,26.4,91.8,835,1.0,northeast,791,407,62.9
9.41,59.5,3.1,20.6,91.7,29,0.0,south,20,22,22.9
