year,fcode,employ,sales,avgsal,tothrs,union,grant,totrain
1988,419479,30,1503906.0,15500,0,0,0,0
1989,419479,30,1360372.0,16500,20,0,0,13
1988,419482,15,1e6,10000,0,0,0,0
1989,419482,18,1e6,10000,24,0,0,18
1987,419483,133,11e6,13957,0,1,0,0
1988,419483,108,115e5,14810,0,1,0,0
1989,419483,129,12e6,14227,20,1,0,20
1987,419486,80,7e6,16000,0,0,0,0
1988,419486,90,85e5,17000,0,0,0,0
1989,419486,100,99e5,18000,40,0,1,90
