name,state,lat,lon,score,commute,pop,region,division
Farmington,NM,37.3590621948242,-107.683326721191,0.0914475247,0.388,2,West,Mountain
Flagstaff,AZ,35.6864929199219,-111.797515869141,0.0814509094,0.461,2,West,Mountain
Cortez,CO,37.6879768371582,-109.932220458984,0.1267806292,0.502,2,West,Mountain
Gallup,AZ,34.4800491333008,-109.363136291504,0.0410613976,0.468,2,West,Mountain
Twin Falls,ID,43.3184967041016,-114.11206817627,0.0871191844,0.505,2,West,Mountain
Burley,ID,42.5788764953613,-113.599784851074,0.113892369,0.536,2,West,Mountain
Boise City,ID,43.8810119628906,-115.838821411133,0.0739204213,0.342,2,West,Mountain
Ontario,OR,44.1263122558594,-117.264678955078,0.0844841599,0.49,2,West,Pacific
McCall,ID,44.7264404296875,-115.799903869629,0.1240310073,0.561,1,West,Mountain
St. George,UT,38.0471305847168,-112.823417663574,0.1084832922,0.575,2,West,Mountain
Price,UT,39.1939926147461,-110.503723144531,0.1373439282,0.577,2,West,Mountain
Moab,UT,38.9266014099121,-109.901496887207,0.1179775298,0.752,1,West,Mountain
Richfield,UT,38.2386169433594,-111.56950378418,0.1286031008,0.633,1,West,Mountain
Loa,UT,38.3174514770508,-110.32356262207,0.2096774131,0.628,1,West,Mountain
Provo,UT,39.7420043945312,-112.007392883301,0.1375119984,0.454,2,West,Mountain
Salt Lake City,UT,40.61962890625,-111.572448730469,0.108327426,0.294,3,West,Mountain
Logan,UT,41.9872283935547,-111.994789123535,0.1369095296,0.528,2,West,Mountain
Pocatello,ID,43.6178512573242,-112.316856384277,0.0925086662,0.517,2,West,Mountain
Salmon,ID,44.6172065734863,-114.175308227539,0.1549295783,0.582,1,West,Mountain
Jackson,WY,43.9552993774414,-110.605415344238,0.1139240488,0.488,1,West,Mountain
Steamboat Springs,CO,40.4096908569336,-107.309448242188,0.1589041054,0.549,2,West,Mountain
Vernal,UT,40.2199554443359,-109.915977478027,0.2533783913,0.557,2,West,Mountain
Soda Springs,ID,42.5429382324219,-111.763107299805,0.1769911498,0.575,1,West,Mountain
Rock Springs,WY,41.9130210876465,-110.03832244873,0.2053941935,0.545,2,West,Mountain
Klamath Falls,CA,41.1564483642578,-121.740371704102,0.0856175944,0.528,2,West,Pacific
Burns,OR,43.0806770324707,-119.109016418457,0.1393939406,0.73,1,West,Pacific
Lakeview,OR,42.7652053833008,-120.350387573242,0.1098265871,0.692,1,West,Pacific
Redding,CA,40.3078002929688,-122.163536071777,0.0880713463,0.424,2,West,Pacific
Eureka,CA,40.842227935791,-123.048484802246,0.0757927299,0.497,2,West,Pacific
Medford,OR,42.6183967590332,-123.281646728516,0.0719680116,0.429,2,West,Pacific
Crescent City,CA,42.3174858093262,-123.932952880859,0.0834224597,0.626,2,West,Pacific
Roseburg,OR,43.0709075927734,-123.371940612793,0.0819778815,0.462,2,West,Pacific
Modesto,CA,37.6686401367188,-120.41040802002,0.0936282724,0.372,3,West,Pacific
Bakersfield,CA,35.3061866760254,-119.108604431152,0.1216197163,0.362,2,West,Pacific
Fresno,CA,36.7168731689453,-119.227890014648,0.0748793706,0.351,3,West,Pacific
Chico,CA,39.5398712158203,-121.665008544922,0.0948425978,0.442,2,West,Pacific
Sacramento,CA,38.5452499389648,-120.881065368652,0.0969090089,0.285,3,West,Pacific
San Jose,CA,36.794002532959,-121.291488647461,0.1293258816,0.244,3,West,Pacific
Elko,NV,39.8185768127441,-116.75122833252,0.1602941155,0.513,2,West,Mountain
Winnemucca,NV,41.0092391967773,-118.409187316895,0.1695501804,0.496,1,West,Mountain
Portola,CA,39.9761695861816,-120.850761413574,0.1176470593,0.552,1,West,Pacific
Reno,NV,39.5042724609375,-118.756866455078,0.0910304934,0.378,2,West,Mountain
Santa Rosa,CA,38.9323234558105,-122.767791748047,0.0995508954,0.349,2,West,Pacific
San Francisco,CA,38.0660629272461,-122.198585510254,0.1215258688,0.212,3,West,Pacific
Las Vegas,NV,36.0594253540039,-114.026496887207,0.0800290108,0.245,3,West,Mountain
Reno,NV,38.641918182373,-118.591743469238,0.1097560972,0.687,1,West,Mountain
Mammoth Lakes,CA,37.272533416748,-118.70630645752,0.1159420311,0.64,2,West,Pacific
San Diego,CA,33.1088333129883,-117.107269287109,0.1043647528,0.247,3,West,Pacific
Yuma,CA,33.0404739379883,-114.670593261719,0.0982132256,0.45,2,West,Pacific
Santa Barbara,CA,34.8693542480469,-120.072280883789,0.112940833,0.448,2,West,Pacific
Los Angeles,CA,34.0751686096191,-116.288673400879,0.096090205,0.225,3,West,Pacific
Lewiston,ID,46.1207466125488,-115.768684387207,0.0902097896,0.555,2,West,Mountain
Pullman,WA,46.7306709289551,-117.456970214844,0.1423611045,0.557,2,West,Pacific
Moses Lake,WA,47.2981109619141,-119.342346191406,0.0965794772,0.512,2,West,Pacific
Wenatchee,WA,47.9200592041016,-120.148620605469,0.0935460478,0.503,2,West,Pacific
Spokane,WA,47.739501953125,-116.917655944824,0.0928014889,0.348,2,West,Pacific
Colville,WA,48.2558975219727,-119.368103027344,0.0975247547,0.427,2,West,Pacific
Longview,WA,46.4340553283691,-123.489311218262,0.0927726701,0.448,2,West,Pacific
Portland,OR,45.5073280334473,-122.585243225098,0.0930585414,0.258,3,West,Pacific
The Dalles,OR,45.380428314209,-120.97777557373,0.1043802425,0.53,2,West,Pacific
Eugene,OR,44.4636039733887,-122.91716003418,0.0788958147,0.381,3,West,Pacific
Newport,OR,45.1897888183594,-123.638946533203,0.0725744814,0.49,2,West,Pacific
Yakima,WA,46.9831886291504,-120.93709564209,0.0817065835,0.427,2,West,Pacific
Kennewick,WA,45.9214706420898,-118.693199157715,0.1058548018,0.453,2,West,Pacific
La Grande,OR,44.9051361083984,-117.899185180664,0.0876747146,0.645,2,West,Pacific
Enterprise,OR,45.5163421630859,-117.263938903809,0.143790856,0.644,1,West,Pacific
Bend,OR,44.2248649597168,-121.15111541748,0.0817263573,0.474,2,West,Pacific
Condon,OR,45.2196655273438,-120.325981140137,0.1086956486,0.546,1,West,Pacific
John Day,OR,44.5940246582031,-118.531196594238,0.1158536598,0.579,1,West,Pacific
Friday Harbor,WA,48.5253791809082,-123.052955627441,0.1016949117,0.628,1,West,Pacific
Bellingham,WA,48.8311538696289,-121.263442993164,0.1155751273,0.418,2,West,Pacific
Port Angeles,WA,47.9120674133301,-123.544647216797,0.0858400613,0.486,2,West,Pacific
Seattle,WA,47.6443939208984,-122.012229919434,0.1085509509,0.24,3,West,Pacific
