match,decision,decision_partner,male_flag,samerace,age,age_partner,goal_code,date_frequency,go_out_frequency,expected_happy,score_attractive,score_sincere,score_intelligence,score_fun,score_ambition,score_interest,score_overall,score_prob_match
0,1,0,0,1,21,24,2,4,1,7,9.0,6.0,7.0,9.0,6.0,5.0,10.0,3.0
0,1,0,0,0,23,27,1,3,1,4,6.0,9.0,7.0,6.0,7.0,6.0,6.0,6.0
0,1,0,0,0,23,22,1,3,1,4,6.0,9.0,9.0,6.0,8.0,2.0,7.0,6.0
0,0,1,0,1,23,22,1,3,1,4,4.0,7.0,9.0,4.0,3.0,2.0,6.0,2.0
1,1,1,0,0,23,23,1,3,1,4,8.0,6.0,7.0,8.0,2.0,8.0,9.0,4.0
0,0,1,0,0,23,24,1,3,1,4,5.0,4.0,8.0,8.0,4.0,2.0,4.0,3.0
0,0,1,0,0,23,25,1,3,1,4,3.0,7.0,6.0,1.0,1.0,1.0,2.0,2.0
0,1,0,0,0,23,30,1,3,1,4,8.0,8.0,8.0,8.0,3.0,4.0,8.0,7.0
0,0,0,0,0,23,27,1,3,1,4,4.0,8.0,9.0,2.0,8.0,3.0,5.0,5.0
1,1,1,0,0,23,28,1,3,1,4,7.0,6.0,8.0,8.0,6.0,9.0,9.0,6.0
0,1,0,0,0,23,24,1,3,1,4,8.0,9.0,9.0,9.0,10.0,7.0,9.0,8.0
0,0,0,0,0,22,27,1,5,1,7,4.0,8.0,8.0,5.0,7.0,4.0,7.0,4.0
0,0,1,0,0,22,22,1,5,1,7,6.0,6.0,8.0,4.0,9.0,4.0,7.0,3.0
0,0,1,0,1,22,22,1,5,1,7,3.0,6.0,8.0,7.0,8.0,8.0,7.0,8.0
1,1,1,0,0,22,23,1,5,1,7,7.0,8.0,8.0,7.0,7.0,6.0,8.0,6.0
0,0,1,0,0,22,24,1,5,1,7,4.0,7.0,7.0,4.0,8.0,5.0,5.0,6.0
0,0,1,0,0,22,25,1,5,1,7,4.0,8.0,7.0,4.0,5.0,4.0,5.0,5.0
0,1,0,0,0,22,30,1,5,1,7,7.0,7.0,8.0,7.0,7.0,7.0,8.0,7.0
0,0,1,0,0,22,27,1,5,1,7,5.0,7.0,8.0,5.0,9.0,5.0,5.0,7.0
1,1,1,0,0,22,28,1,5,1,7,6.0,6.0,8.0,8.0,8.0,6.0,6.0,6.0
0,1,0,0,0,22,24,1,5,1,7,8.0,6.0,7.0,7.0,8.0,6.0,7.0,5.0
0,1,0,0,1,25,27,1,5,1,6,5.0,8.0,7.0,4.0,7.0,5.0,4.0,5.0
1,1,1,0,1,25,22,1,5,1,6,8.0,7.0,7.0,9.0,6.0,7.0,8.0,7.0
1,1,1,0,0,25,22,1,5,1,6,5.0,8.0,8.0,6.0,7.0,7.0,5.0,5.0
1,1,1,0,1,25,23,1,5,1,6,8.0,6.0,5.0,6.0,6.0,5.0,5.0,6.0
1,1,1,0,1,25,25,1,5,1,6,6.0,8.0,8.0,5.0,6.0,7.0,6.0,5.0
0,1,0,0,1,25,30,1,5,1,6,6.0,7.0,8.0,5.0,7.0,7.0,6.0,6.0
1,1,1,0,1,25,27,1,5,1,6,5.0,6.0,7.0,4.0,5.0,6.0,5.0,4.0
1,1,1,0,1,25,28,1,5,1,6,8.0,8.0,5.0,9.0,8.0,9.0,7.0,10.0
1,1,1,0,1,25,24,1,5,1,6,7.0,6.0,8.0,7.0,9.0,8.0,8.0,7.0
0,1,0,0,0,26,27,1,4,1,6,8.0,10.0,9.0,8.0,7.0,6.0,5.0,5.0
1,1,1,0,0,26,22,1,4,1,6,10.0,10.0,10.0,10.0,10.0,10.0,10.0,5.0
1,1,1,0,0,26,22,1,4,1,6,5.0,10.0,10.0,6.0,6.0,6.0,8.0,5.0
1,1,1,0,0,26,23,1,4,1,6,10.0,9.0,8.0,8.0,7.0,7.0,7.0,5.0
1,1,1,0,0,26,24,1,4,1,6,5.0,10.0,8.0,8.0,5.0,5.0,5.0,5.0
1,1,1,0,0,26,25,1,4,1,6,8.0,9.0,9.0,7.0,6.0,5.0,6.0,5.0
1,1,1,0,0,26,30,1,4,1,6,6.0,8.0,9.0,6.0,6.0,6.0,7.0,5.0
0,1,0,0,0,26,27,1,4,1,6,6.0,7.0,8.0,7.0,9.0,6.0,7.0,5.0
1,1,1,0,0,26,28,1,4,1,6,8.0,5.0,5.0,6.0,5.0,5.0,7.0,6.0
0,1,0,0,0,26,24,1,4,1,6,7.0,8.0,7.0,8.0,7.0,8.0,8.0,5.0
1,1,1,0,1,26,28,2,6,1,7,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
0,1,0,0,1,26,24,2,6,1,7,9.0,9.0,8.0,10.0,8.0,8.0,9.0,10.0
0,0,1,1,0,27,21,1,5,4,7,6.0,8.0,8.0,8.0,8.0,6.0,7.0,4.0
0,0,0,1,1,27,24,1,5,4,7,8.0,7.0,6.0,9.0,7.0,4.0,7.0,2.0
0,0,0,1,1,27,25,1,5,4,7,7.0,8.0,6.0,5.0,8.0,4.0,5.0,2.0
0,0,0,1,1,27,23,1,5,4,7,6.0,7.0,8.0,7.0,7.0,5.0,6.0,3.0
0,0,0,1,1,27,21,1,5,4,7,6.0,8.0,8.0,8.0,7.0,6.0,6.0,5.0
0,0,1,1,0,27,23,1,5,4,7,7.0,9.0,8.0,9.0,8.0,4.0,7.0,4.0
0,0,0,1,0,27,22,1,5,4,7,7.0,8.0,8.0,8.0,7.0,7.0,7.0,4.0
0,0,1,1,1,27,25,1,5,4,7,8.0,7.0,6.0,6.0,6.0,5.0,7.0,4.0
0,0,1,1,0,27,26,1,5,4,7,6.0,8.0,7.0,8.0,7.0,5.0,6.0,4.0
0,0,1,1,0,22,21,1,1,1,7,7.0,8.0,10.0,7.0,7.0,5.0,8.0,4.0
0,0,0,1,1,22,24,1,1,1,7,7.0,6.0,10.0,6.0,6.0,5.0,8.0,4.0
0,0,0,1,1,22,25,1,1,1,7,6.0,7.0,10.0,6.0,6.0,5.0,7.0,3.0
0,0,0,1,1,22,23,1,1,1,7,6.0,5.0,10.0,6.0,6.0,5.0,6.0,3.0
0,0,0,1,1,22,21,1,1,1,7,6.0,7.0,10.0,7.0,6.0,5.0,7.0,4.0
0,0,1,1,0,22,23,1,1,1,7,6.0,8.0,10.0,6.0,7.0,6.0,7.0,4.0
0,1,0,1,0,22,22,1,1,1,7,7.0,9.0,10.0,6.0,6.0,5.0,8.0,4.0
1,1,1,1,1,22,25,1,1,1,7,8.0,8.0,10.0,7.0,6.0,5.0,9.0,4.0
1,1,1,1,0,22,26,1,1,1,7,8.0,8.0,10.0,7.0,6.0,5.0,8.0,4.0
0,1,0,1,0,22,24,2,7,1,3,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
0,1,0,1,0,22,25,2,7,1,3,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
0,1,0,1,0,22,23,2,7,1,3,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
0,1,0,1,0,22,21,2,7,1,3,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
0,1,0,1,1,22,23,2,7,1,3,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
0,1,0,1,1,22,22,2,7,1,3,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
1,1,1,1,0,22,25,2,7,1,3,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
1,1,1,1,0,22,26,2,7,1,3,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
1,1,1,1,0,23,21,2,4,1,8,7.0,8.0,9.0,8.0,9.0,8.0,7.0,7.0
1,1,1,1,1,23,24,2,4,1,8,9.0,9.0,9.0,9.0,9.0,9.0,9.0,7.0
0,1,0,1,1,23,25,2,4,1,8,7.0,9.0,8.0,8.0,8.0,8.0,7.0,7.0
1,1,1,1,1,23,23,2,4,1,8,7.0,7.0,7.0,9.0,9.0,9.0,8.0,10.0
1,1,1,1,1,23,21,2,4,1,8,6.0,8.0,6.0,8.0,10.0,10.0,7.0,7.0
1,1,1,1,0,23,23,2,4,1,8,6.0,8.0,8.0,7.0,9.0,8.0,7.0,7.0
1,1,1,1,0,23,22,2,4,1,8,8.0,8.0,9.0,8.0,9.0,9.0,8.0,7.0
1,1,1,1,1,23,25,2,4,1,8,8.0,8.0,8.0,8.0,8.0,7.0,8.0,7.0
1,1,1,1,0,23,26,2,4,1,8,7.0,8.0,7.0,8.0,8.0,7.0,7.0,7.0
1,1,1,1,0,24,21,1,4,1,5,8.0,7.0,9.0,6.0,9.0,7.0,8.0,6.0
0,1,0,1,0,24,24,1,4,1,5,10.0,10.0,10.0,10.0,7.0,8.0,10.0,1.0
0,1,0,1,0,24,23,1,4,1,5,8.0,8.0,9.0,8.0,8.0,9.0,9.0,7.0
0,0,0,1,0,24,21,1,4,1,5,5.0,9.0,9.0,7.0,9.0,5.0,5.0,7.0
0,1,0,1,0,24,23,1,4,1,5,9.0,7.0,9.0,7.0,9.0,6.0,9.0,2.0
0,1,0,1,0,24,22,1,4,1,5,8.0,7.0,9.0,6.0,9.0,5.0,8.0,4.0
1,1,1,1,0,24,26,1,4,1,5,7.0,9.0,8.0,9.0,7.0,7.0,7.0,8.0
0,1,0,1,0,25,21,1,5,1,7,7.0,7.0,8.0,8.0,7.0,7.0,7.0,6.0
0,1,0,1,1,25,24,1,5,1,7,7.0,8.0,7.0,5.0,7.0,7.0,7.0,5.0
0,1,0,1,1,25,23,1,5,1,7,6.0,6.0,7.0,7.0,8.0,7.0,6.0,6.0
0,0,1,1,1,25,21,1,5,1,7,5.0,8.0,7.0,7.0,7.0,7.0,6.0,7.0
0,1,0,1,0,25,23,1,5,1,7,6.0,6.0,8.0,8.0,8.0,7.0,6.0,6.0
0,1,0,1,0,25,22,1,5,1,7,8.0,8.0,8.0,6.0,6.0,6.0,7.0,7.0
1,1,1,1,1,25,25,1,5,1,7,8.0,7.0,7.0,7.0,8.0,7.0,7.0,6.0
1,1,1,1,0,25,26,1,5,1,7,6.0,6.0,7.0,8.0,7.0,7.0,6.0,5.0
0,0,1,1,0,30,21,3,3,2,4,3.0,6.0,7.0,5.0,8.0,7.0,2.0,1.0
0,0,1,1,1,30,24,3,3,2,4,5.0,3.0,4.0,3.0,5.0,3.0,4.0,3.0
0,0,0,1,1,30,25,3,3,2,4,6.0,3.0,5.0,4.0,5.0,4.0,2.0,2.0
0,1,0,1,1,30,23,3,3,2,4,7.0,6.0,3.0,5.0,6.0,5.0,6.0,4.0
0,0,1,1,1,30,21,3,3,2,4,2.0,3.0,4.0,4.0,5.0,3.0,3.0,3.0
0,0,1,1,0,30,23,3,3,2,4,5.0,6.0,8.0,4.0,5.0,4.0,3.0,3.0
0,0,1,1,0,30,22,3,3,2,4,7.0,6.0,5.0,4.0,4.0,3.0,5.0,4.0
0,0,1,1,1,30,25,3,3,2,4,6.0,4.0,7.0,5.0,6.0,4.0,4.0,4.0
1,1,1,1,0,30,26,3,3,2,4,8.0,6.0,7.0,8.0,6.0,5.0,8.0,4.0
0,0,0,1,0,27,21,1,6,1,5,6.0,7.0,5.0,6.0,8.0,6.0,7.0,5.0
0,1,0,1,1,27,24,1,6,1,5,7.0,7.0,7.0,7.0,7.0,5.0,7.0,6.0
0,0,0,1,1,27,25,1,6,1,5,4.0,5.0,6.0,4.0,6.0,4.0,5.0,1.0
0,0,0,1,1,27,23,1,6,1,5,6.0,7.0,8.0,6.0,6.0,5.0,7.0,7.0
0,0,1,1,1,27,21,1,6,1,5,5.0,5.0,6.0,5.0,5.0,5.0,6.0,5.0
0,0,0,1,0,27,23,1,6,1,5,6.0,7.0,8.0,7.0,8.0,5.0,7.0,6.0
0,1,0,1,0,27,22,1,6,1,5,8.0,7.0,6.0,7.0,7.0,5.0,7.0,5.0
1,1,1,1,1,27,25,1,6,1,5,9.0,8.0,8.0,8.0,7.0,5.0,7.0,5.0
0,0,1,1,0,27,26,1,6,1,5,7.0,7.0,7.0,7.0,6.0,5.0,7.0,5.0
1,1,1,1,0,28,21,4,1,1,10,7.0,7.0,8.0,8.0,8.0,9.0,6.5,8.0
1,1,1,1,1,28,24,4,1,1,10,8.0,6.0,9.0,9.0,8.0,7.0,8.0,8.0
0,1,0,1,1,28,25,4,1,1,10,7.0,7.0,6.0,8.0,7.0,7.0,7.0,7.0
1,1,1,1,1,28,23,4,1,1,10,7.0,7.0,7.0,10.0,9.0,10.0,8.0,8.0
1,1,1,1,1,28,21,4,1,1,10,5.0,9.0,9.0,9.0,9.0,6.0,7.0,7.0
1,1,1,1,0,28,23,4,1,1,10,6.0,7.0,7.0,6.0,6.0,6.0,6.0,6.0
1,1,1,1,0,28,22,4,1,1,10,9.0,7.0,9.0,9.0,9.0,10.0,9.0,9.0
1,1,1,1,1,28,25,4,1,1,10,8.0,7.0,8.0,10.0,8.0,10.0,8.0,8.0
1,1,1,1,0,28,26,4,1,1,10,6.0,6.0,6.0,7.0,6.0,6.0,6.0,6.0
1,1,1,1,1,28,26,4,1,1,10,7.0,7.0,7.0,7.0,6.0,6.0,7.0,8.0
0,0,1,1,0,24,21,1,1,1,6,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
0,0,1,1,1,24,24,1,1,1,6,6.0,5.0,7.0,7.0,9.0,7.0,6.0,9.0
0,0,0,1,1,24,25,1,1,1,6,5.0,6.0,8.0,5.0,8.0,6.0,5.0,5.0
0,0,1,1,1,24,23,1,1,1,6,7.0,8.0,8.0,7.0,8.0,7.0,7.0,7.0
0,0,1,1,1,24,21,1,1,1,6,3.0,10.0,7.0,7.0,10.0,5.0,4.0,10.0
0,0,1,1,0,24,23,1,1,1,6,7.0,10.0,10.0,6.0,10.0,7.0,6.0,7.0
0,0,1,1,0,24,22,1,1,1,6,7.0,6.0,8.0,6.0,8.0,7.0,7.0,7.0
1,1,1,1,1,24,25,1,1,1,6,8.0,10.0,9.0,9.0,8.0,8.0,8.0,8.0
0,0,1,1,0,24,26,1,1,1,6,5.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
0,0,1,1,1,24,26,1,1,1,6,6.0,6.0,6.0,6.0,6.0,6.0,7.0,7.0
0,0,0,0,1,21,25,6,7,4,5,6.0,8.0,7.0,9.0,5.0,7.0,9.0,1.0
0,1,0,0,1,21,23,6,7,4,5,8.0,9.0,8.0,8.0,7.0,6.0,9.0,3.0
0,0,0,0,0,21,24,6,7,4,5,5.0,8.0,8.0,4.0,9.0,3.0,6.0,1.0
0,0,1,0,0,21,24,6,7,4,5,7.0,7.0,8.0,5.0,7.0,2.0,6.0,1.0
0,0,1,0,0,21,28,6,7,4,5,6.0,8.0,8.0,6.0,8.0,4.0,5.0,2.0
0,0,0,0,0,21,26,6,7,4,5,6.0,8.0,8.0,6.0,8.0,5.0,8.0,2.0
0,0,1,0,0,21,30,6,7,4,5,4.0,7.0,7.0,4.0,7.0,3.0,5.0,1.0
0,0,0,0,0,21,22,6,7,4,5,7.0,7.0,7.0,5.0,6.0,3.0,6.0,1.0
0,1,0,0,1,21,25,6,7,4,5,9.0,9.0,10.0,9.0,9.0,8.0,9.0,5.0
0,0,0,0,0,21,23,6,7,4,5,7.0,4.0,6.0,4.0,4.0,2.0,2.0,1.0
0,0,0,0,0,21,21,6,7,4,5,5.0,8.0,8.0,5.0,8.0,2.0,6.0,1.0
0,0,0,0,0,21,28,6,7,4,5,6.0,8.0,7.0,7.0,7.0,2.0,6.0,1.0
0,0,0,0,0,21,28,6,7,4,5,6.0,8.0,7.0,6.0,8.0,2.0,6.0,1.0
0,0,0,0,0,21,23,6,7,4,5,5.0,9.0,9.0,8.0,9.0,5.0,8.0,3.0
0,0,0,0,0,27,25,1,6,2,4,5.0,7.0,7.0,6.0,7.0,5.0,6.0,4.0
0,0,0,0,0,27,23,1,6,2,4,5.0,6.0,6.0,5.0,6.0,3.0,3.0,2.0
0,0,0,0,0,27,24,1,6,2,4,5.0,7.0,7.0,5.0,7.0,3.0,4.0,3.0
1,1,1,0,0,27,24,1,6,2,4,6.0,8.0,8.0,7.0,7.0,6.0,6.0,6.0
1,1,1,0,0,27,28,1,6,2,4,6.0,7.0,7.0,4.0,6.0,6.0,6.0,6.0
0,1,0,0,0,27,26,1,6,2,4,8.0,7.0,7.0,7.0,6.0,7.0,7.0,4.0
0,0,0,0,0,27,23,1,6,2,4,3.0,4.0,5.0,4.0,4.0,2.0,2.0,1.0
0,0,0,0,0,27,21,1,6,2,4,3.0,6.0,7.0,5.0,5.0,4.0,2.0,2.0
0,1,0,0,0,27,28,1,6,2,4,7.0,7.0,8.0,6.0,7.0,8.0,8.0,5.0
0,0,0,0,0,27,28,1,6,2,4,4.0,5.0,5.0,4.0,5.0,4.0,4.0,2.0
0,1,0,0,1,27,23,1,6,2,4,6.0,7.0,7.0,7.0,7.0,7.0,7.0,6.0
0,1,0,0,1,21,25,1,1,1,5,5.0,7.0,6.0,6.0,6.0,7.0,8.0,6.0
1,1,1,0,0,21,24,1,1,1,5,5.0,7.0,8.0,6.0,6.0,7.0,7.0,6.0
1,1,1,0,0,21,24,1,1,1,5,7.0,7.0,7.0,6.0,6.0,9.0,9.0,10.0
1,1,1,0,0,21,28,1,1,1,5,6.0,7.0,7.0,6.0,7.0,5.0,7.0,5.0
0,1,0,0,0,21,26,1,1,1,5,7.0,6.0,7.0,7.0,7.0,6.0,7.0,5.0
0,0,1,0,0,21,30,1,1,1,5,5.0,6.0,7.0,6.0,6.0,6.0,6.0,5.0
0,0,0,0,0,21,22,1,1,1,5,6.0,6.0,6.0,8.0,6.0,5.0,6.0,5.0
0,1,0,0,1,21,25,1,1,1,5,7.0,7.0,6.0,7.0,6.0,7.0,8.0,6.0
0,0,0,0,0,21,23,1,1,1,5,7.0,6.0,5.0,4.0,4.0,4.0,6.0,4.0
0,0,0,0,0,21,21,1,1,1,5,6.0,6.0,5.0,7.0,5.0,6.0,6.0,5.0
0,0,1,0,0,21,28,1,1,1,5,6.0,7.0,6.0,6.0,5.0,5.0,6.0,4.0
0,0,0,0,0,21,23,1,1,1,5,6.0,8.0,7.0,6.0,7.0,5.0,6.0,5.0
0,0,1,0,1,27,30,2,6,4,5,5.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
0,0,0,0,0,25,25,1,5,2,5,7.0,8.0,9.0,6.0,8.0,5.0,6.0,4.0
0,0,1,0,1,25,24,1,5,2,5,4.0,5.0,10.0,4.0,10.0,4.0,4.0,5.0
0,0,1,0,1,25,24,1,5,2,5,6.0,7.0,9.0,7.0,9.0,3.0,5.0,4.0
0,0,1,0,1,25,28,1,5,2,5,6.0,8.0,7.0,5.0,8.0,7.0,7.0,5.0
0,0,1,0,1,25,26,1,5,2,5,7.0,8.0,8.0,6.0,10.0,6.0,8.0,7.0
0,0,1,0,1,25,30,1,5,2,5,3.0,8.0,9.0,8.0,10.0,5.0,8.0,4.0
0,0,1,0,0,25,25,1,5,2,5,8.0,8.0,9.0,8.0,9.0,8.0,9.0,8.0
0,0,0,0,1,25,23,1,5,2,5,6.0,5.0,8.0,7.0,10.0,8.0,6.0,7.0
0,0,1,0,1,25,21,1,5,2,5,5.0,4.0,7.0,5.0,9.0,7.0,5.0,4.0
0,0,1,0,1,25,28,1,5,2,5,7.0,8.0,9.0,7.0,8.0,5.0,7.0,7.0
0,0,1,0,1,25,28,1,5,2,5,5.0,8.0,8.0,6.0,9.0,6.0,6.0,7.0
0,0,1,0,0,25,23,1,5,2,5,7.0,7.0,7.0,8.0,8.0,6.0,7.0,5.0
0,0,0,0,0,23,25,1,5,2,7,2.0,5.0,5.0,3.0,5.0,2.0,2.0,2.0
0,0,1,0,1,23,24,1,5,2,7,2.0,6.0,7.0,1.0,7.0,2.0,2.0,3.0
0,0,1,0,1,23,24,1,5,2,7,3.0,8.0,7.0,6.0,6.0,4.0,5.0,4.0
0,0,1,0,1,23,28,1,5,2,7,4.0,7.0,6.0,1.0,4.0,3.0,2.0,2.0
0,0,1,0,1,23,26,1,5,2,7,7.0,4.0,5.0,6.0,5.0,4.0,6.0,5.0
0,0,1,0,1,23,30,1,5,2,7,3.0,7.0,6.0,4.0,6.0,2.0,2.0,2.0
0,0,1,0,0,23,25,1,5,2,7,5.0,8.0,8.0,7.0,7.0,6.0,5.0,5.0
0,0,1,0,1,23,23,1,5,2,7,6.0,7.0,6.0,5.0,6.0,6.0,6.0,4.0
0,0,1,0,1,23,21,1,5,2,7,2.0,7.0,6.0,4.0,4.0,4.0,5.0,4.0
0,0,1,0,1,23,28,1,5,2,7,6.0,8.0,8.0,6.0,7.0,5.0,6.0,6.0
0,0,1,0,1,23,28,1,5,2,7,2.0,8.0,7.0,2.0,7.0,2.0,3.0,3.0
0,0,1,0,0,23,23,1,5,2,7,6.0,6.0,6.0,6.0,6.0,4.0,6.0,5.0
0,0,1,0,0,22,24,1,6,2,5,1.0,6.0,7.0,6.0,4.0,3.0,2.0,3.0
0,0,1,0,0,22,24,1,6,2,5,1.0,3.0,4.0,2.0,2.0,1.0,1.0,4.0
0,0,1,0,0,22,28,1,6,2,5,3.0,6.0,6.0,4.0,5.0,1.0,1.0,2.0
1,1,1,0,0,22,26,1,6,2,5,8.0,7.0,6.0,6.0,4.0,4.0,6.0,5.0
0,0,1,0,0,22,30,1,6,2,5,1.0,4.0,5.0,4.0,4.0,4.0,3.0,5.0
0,0,1,0,0,22,23,1,6,2,5,1.0,2.0,6.0,1.0,6.0,2.0,2.0,3.0
0,0,1,0,0,22,21,1,6,2,5,1.0,3.0,7.0,1.0,4.0,2.0,1.0,3.0
0,0,1,0,0,22,28,1,6,2,5,6.0,4.0,8.0,3.0,8.0,2.0,3.0,3.0
0,0,1,0,0,22,28,1,6,2,5,2.0,4.0,7.0,3.0,6.0,2.0,1.0,2.0
0,0,1,0,0,22,23,1,6,2,5,5.0,6.0,6.0,4.0,3.0,4.0,4.0,1.0
1,1,1,0,1,22,24,1,6,1,7,8.0,6.0,7.0,3.0,7.0,2.0,6.0,4.0
1,1,1,0,1,22,28,1,6,1,7,6.0,8.0,7.0,4.0,7.0,2.0,6.0,4.0
0,1,0,0,1,22,22,1,6,1,7,8.0,7.0,8.0,8.0,8.0,6.0,8.0,5.0
0,0,1,0,0,22,25,1,6,1,7,7.0,5.0,6.0,8.0,6.0,4.0,5.0,6.0
0,1,0,0,1,22,23,1,6,1,7,6.0,7.0,7.0,4.0,6.0,6.0,6.0,5.0
0,1,0,0,1,22,21,1,6,1,7,6.0,8.0,8.0,5.0,7.0,5.0,8.0,7.0
0,0,0,0,1,22,28,1,6,1,7,6.0,7.0,6.0,4.0,6.0,5.0,6.0,4.0
