carat,cut,color,clarity,depth,table,price,x,y,z
0.43,Premium,F,VS1,61.0,57.0,1129,4.89,4.84,2.97
0.91,Very Good,G,VS2,64.0,56.6,4105,6.09,6.15,3.92
0.38,Ideal,G,SI1,60.6,57.0,695,4.71,4.76,2.87
0.74,Ideal,G,VS1,61.2,56.0,3635,5.83,5.86,3.58
0.34,Premium,E,VS2,62.7,56.0,893,4.51,4.48,2.82
0.43,Very Good,E,SI1,63.1,56.0,948,4.83,4.8,3.04
0.27,Very Good,E,VS1,62.9,56.0,470,4.12,4.15,2.6
1.12,Premium,I,SI1,61.3,58.0,4077,6.69,6.68,4.1
0.26,Ideal,F,VS1,62.3,56.0,452,4.08,4.1,2.55
1.01,Premium,E,SI2,62.6,57.0,4751,6.35,6.33,3.97
1.52,Very Good,J,SI1,59.9,57.0,7759,7.45,7.47,4.47
0.77,Very Good,G,SI1,63.2,57.0,2586,5.86,5.76,3.67
1.0,Good,G,VS2,63.5,59.0,5860,6.23,6.33,3.99
2.22,Ideal,I,VS2,61.3,56.0,18531,8.45,8.36,5.15
0.3,Ideal,E,VVS2,61.7,53.8,779,4.31,4.34,2.67
1.09,Ideal,I,VS1,61.4,56.0,6225,6.61,6.66,4.07
1.22,Ideal,G,VVS1,61.1,56.0,10888,6.91,6.94,4.23
0.71,Ideal,H,SI2,62.2,55.0,2360,5.72,5.7,3.55
1.21,Ideal,J,VS2,62.5,57.0,5707,6.79,6.74,4.23
0.41,Very Good,G,VS2,61.4,59.2,813,4.76,4.78,2.93
0.5,Ideal,E,SI1,60.1,57.0,1410,5.14,5.27,3.13
0.37,Premium,I,VS1,61.4,59.0,584,4.55,4.61,2.81
0.9,Good,E,SI1,58.3,61.0,4165,6.24,6.29,3.65
1.04,Fair,I,I1,67.3,56.0,2037,6.34,6.23,4.22
0.5,Ideal,H,VVS2,60.3,58.0,1608,5.14,5.21,3.12
1.12,Premium,G,SI2,61.0,60.0,3838,6.7,6.64,4.07
0.51,Ideal,D,VS1,62.4,57.0,1779,5.09,5.13,3.19
0.71,Ideal,D,SI1,60.2,56.0,2822,5.86,5.83,3.52
0.3,Ideal,D,VVS2,61.7,57.0,1041,4.3,4.32,2.66
1.04,Very Good,H,SI1,62.0,58.0,5285,6.42,6.48,4.0
0.72,Premium,E,VS2,60.9,60.0,2822,5.8,5.76,3.52
1.01,Premium,H,VS1,61.2,61.0,5294,6.44,6.41,3.93
1.14,Good,G,SI2,63.7,58.0,4501,6.62,6.54,4.19
0.7,Very Good,H,VS1,62.1,56.0,2422,5.65,5.68,3.52
1.33,Premium,F,SI2,60.7,62.0,5288,7.12,7.07,4.31
1.56,Premium,I,VVS2,60.5,58.0,8858,7.53,7.45,4.53
1.0,Ideal,E,SI1,62.8,54.2,5728,6.32,6.4,4.01
2.01,Ideal,H,SI1,65.1,56.0,16733,7.91,7.84,5.12
0.32,Premium,E,I1,60.9,58.0,444,4.42,4.38,2.68
1.67,Ideal,G,VS1,61.5,55.0,16643,7.62,7.67,4.7
1.51,Good,D,SI2,62.1,60.0,9069,7.25,7.3,4.52
1.1,Very Good,I,SI2,60.5,59.0,4202,6.65,6.71,4.04
1.01,Ideal,F,SI1,60.0,56.0,5274,6.55,6.49,3.91
1.02,Very Good,E,VS2,60.0,59.0,6915,6.54,6.59,3.94
0.32,Ideal,H,VVS1,62.2,56.0,936,4.38,4.37,2.72
0.72,Premium,E,SI1,62.8,52.0,2333,5.78,5.72,3.61
1.08,Premium,G,SI2,62.9,59.0,4627,6.57,6.53,4.12
0.48,Ideal,F,IF,62.1,55.0,2154,5.0,5.05,3.12
1.0,Good,E,VS2,57.4,58.0,6050,6.57,6.61,3.78
1.61,Ideal,G,SI1,62.4,55.0,11859,7.51,7.48,4.68
0.32,Ideal,E,VS2,61.0,56.0,662,4.4,4.42,2.69
0.73,Premium,E,VS1,62.6,60.0,2876,5.68,5.75,3.58
0.61,Premium,D,VS1,62.4,57.0,2207,5.46,5.44,3.4
1.06,Very Good,E,SI2,62.1,56.0,4972,6.52,6.59,4.07
0.41,Premium,E,VS1,60.8,59.0,1079,4.76,4.82,2.91
1.2,Good,I,VS1,57.8,61.0,5570,7.02,6.96,4.04
0.9,Good,H,SI1,62.8,62.0,3447,6.05,6.09,3.81
0.28,Ideal,G,IF,61.5,57.0,650,4.19,4.21,2.58
1.0,Good,H,SI2,63.7,58.0,3472,6.28,6.15,3.96
0.31,Ideal,G,VVS1,62.3,53.0,778,4.37,4.42,2.74
1.01,Fair,H,SI2,65.4,59.0,2846,6.3,6.26,4.11
0.93,Premium,E,I1,62.3,60.0,2624,6.2,6.23,3.87
0.32,Ideal,D,SI1,62.6,55.0,756,4.39,4.36,2.74
0.54,Ideal,G,VVS2,60.6,56.0,2090,5.27,5.26,3.19
0.31,Very Good,G,VVS1,62.8,57.0,761,4.3,4.33,2.71
1.05,Good,G,SI2,63.2,54.0,4241,6.49,6.52,4.11
0.33,Ideal,G,VS1,62.4,56.0,666,4.43,4.45,2.77
0.7,Ideal,F,SI2,62.0,55.0,2259,5.69,5.73,3.54
0.61,Very Good,E,VS1,61.1,58.0,2243,5.47,5.52,3.36
1.1,Very Good,I,SI1,60.4,61.0,4235,6.69,6.73,4.05
0.7,Fair,I,I1,68.6,57.0,1147,5.46,5.34,3.71
1.01,Good,F,SI2,63.6,59.0,4072,6.38,6.34,4.04
2.0,Good,J,VS1,62.4,58.0,14973,8.01,8.08,5.02
0.3,Ideal,H,VVS1,62.0,56.0,665,4.29,4.32,2.67
0.31,Ideal,F,VS2,61.9,55.0,802,4.35,4.31,2.68
0.35,Ideal,E,SI1,61.0,57.0,788,4.57,4.54,2.78
0.51,Ideal,E,SI1,62.3,56.0,1443,5.15,5.12,3.2
0.71,Ideal,E,SI2,59.5,57.0,2511,5.87,5.82,3.48
0.9,Ideal,H,SI2,62.6,57.0,3548,6.16,6.07,3.83
1.51,Ideal,J,VS1,62.7,56.0,8092,7.3,7.35,4.59
0.4,Ideal,D,VVS2,62.8,56.0,1111,4.68,4.72,2.95
0.31,Ideal,D,SI1,61.7,55.0,565,4.37,4.41,2.71
1.23,Premium,I,VS2,61.7,58.0,5521,6.85,6.87,4.23
1.15,Very Good,H,SI2,61.4,58.0,4418,6.7,6.75,4.13
0.78,Very Good,E,SI1,59.8,57.0,3385,5.98,6.02,3.59
0.73,Ideal,I,VVS2,60.1,56.0,2451,5.88,5.86,3.53
0.37,Ideal,E,SI1,61.9,56.0,833,4.6,4.57,2.84
1.53,Ideal,G,SI2,61.7,57.0,7240,7.44,7.41,4.58
0.4,Premium,F,VS2,59.7,58.0,1080,4.83,4.79,2.87
0.7,Ideal,E,VS2,61.7,56.0,2979,5.74,5.71,3.53
1.01,Premium,E,SI1,59.2,60.0,5656,6.56,6.51,3.87
0.7,Premium,J,VS2,61.2,60.0,1940,5.73,5.7,3.5
1.11,Very Good,E,SI2,61.7,63.0,4102,6.54,6.65,4.07
0.31,Premium,H,VS1,62.4,58.0,544,4.32,4.36,2.71
0.9,Good,D,SI1,64.1,56.0,3755,6.04,6.07,3.88
0.93,Good,F,SI2,59.4,61.0,3418,6.24,6.25,3.71
2.01,Very Good,H,VS2,63.5,59.0,16677,7.92,7.86,5.01
0.51,Very Good,G,SI1,63.0,53.0,1220,5.1,5.13,3.22
0.26,Very Good,H,VVS2,60.5,56.0,486,4.13,4.16,2.51
0.53,Premium,F,SI2,62.5,57.0,1242,5.17,5.11,3.21
1.01,Premium,D,SI2,61.8,57.0,4338,6.47,6.42,3.98
0.9,Premium,I,SI2,60.6,60.0,3001,6.23,6.28,3.79
1.0,Ideal,J,SI1,59.2,62.0,3929,6.47,6.5,3.84
0.24,Ideal,F,VVS2,62.1,56.0,678,3.96,3.99,2.46
0.3,Ideal,H,VS2,62.3,56.0,491,4.27,4.3,2.67
1.1,Premium,E,SI2,60.9,60.0,4622,6.66,6.61,4.04
0.55,Ideal,I,SI1,61.3,56.0,1367,5.29,5.34,3.26
0.53,Ideal,E,VVS2,62.0,58.0,2230,5.16,5.2,3.21
0.34,Ideal,F,VS2,62.9,55.0,880,4.48,4.46,2.81
0.41,Ideal,D,VS1,61.2,57.0,1018,4.77,4.81,2.93
0.3,Premium,H,VS1,61.0,58.0,526,4.28,4.31,2.62
0.9,Fair,F,VS2,58.9,67.0,3992,6.18,6.17,3.64
0.53,Very Good,H,SI1,61.7,60.0,1152,5.17,5.21,3.2
0.39,Ideal,D,VS2,61.4,56.0,1197,4.71,4.73,2.9
0.3,Ideal,H,VVS1,61.6,57.0,665,4.3,4.34,2.66
0.52,Ideal,F,VVS2,61.6,57.0,2168,5.16,5.2,3.19
0.33,Premium,I,SI1,61.4,58.0,572,4.5,4.46,2.75
1.51,Premium,F,VS2,62.5,58.0,14294,7.36,7.21,4.55
0.54,Premium,G,VS1,61.6,56.0,1847,5.26,5.23,3.23
0.58,Ideal,F,VS1,60.3,57.0,2227,5.47,5.44,3.29
0.39,Very Good,G,VVS2,63.4,57.0,956,4.65,4.62,2.94
0.35,Ideal,H,IF,60.9,57.0,1028,4.58,4.6,2.8
0.32,Good,D,SI2,63.7,56.0,612,4.34,4.33,2.76
0.56,Premium,G,VS1,61.2,60.0,1915,5.3,5.26,3.23
0.41,Ideal,F,VVS2,62.6,55.0,1115,4.73,4.76,2.97
0.55,Ideal,D,VS2,61.0,56.0,1768,5.31,5.28,3.23
0.51,Ideal,D,VS2,61.8,55.0,1882,5.16,5.1,3.17
1.19,Ideal,H,VS2,62.0,54.0,7633,6.79,6.83,4.22
0.55,Premium,D,SI1,60.5,60.0,1698,5.3,5.27,3.2
1.25,Ideal,E,VS2,60.7,56.0,11422,6.97,6.99,4.24
1.01,Premium,H,VS1,62.7,58.0,5294,6.39,6.37,4.0
1.03,Premium,F,VS2,60.5,59.0,5330,6.6,6.52,3.97
1.75,Ideal,H,I1,61.5,55.0,7409,7.78,7.75,4.78
0.82,Ideal,G,SI1,60.7,57.0,3123,6.07,6.06,3.68
1.29,Very Good,J,SI2,63.5,57.0,3884,6.89,6.87,4.37
0.78,Ideal,H,VVS2,61.7,55.0,3015,5.9,5.94,3.65
0.46,Premium,F,VS1,60.5,58.0,1432,5.02,4.97,3.02
0.5,Very Good,E,SI1,60.9,58.0,1331,5.1,5.14,3.12
1.7,Very Good,J,SI1,59.1,61.0,7713,7.79,7.85,4.62
0.54,Premium,F,SI1,62.3,58.0,1693,5.26,5.2,3.26
1.52,Premium,F,VS2,59.4,60.0,13530,7.61,7.5,4.49
1.02,Premium,J,VS2,61.6,58.0,3513,6.4,6.35,3.93
0.5,Premium,E,SI1,62.3,58.0,1415,5.15,5.09,3.19
0.24,Very Good,D,VVS1,59.2,59.0,478,4.04,4.1,2.41
1.02,Premium,D,SI2,61.3,62.0,4044,6.46,6.42,3.95
0.3,Ideal,F,IF,60.7,56.0,1131,4.35,4.38,2.65
2.04,Premium,I,SI2,60.2,59.0,15543,8.28,8.22,4.97
1.52,Premium,D,SI1,60.2,58.0,12502,7.49,7.46,4.5
1.09,Very Good,G,VS1,59.7,63.0,6453,6.65,6.74,4.0
0.38,Premium,D,SI1,59.1,58.0,635,4.74,4.77,2.81
0.41,Ideal,D,VS1,61.1,56.0,1427,4.8,4.83,2.94
1.14,Very Good,E,VS1,63.1,59.0,8315,6.63,6.61,4.18
0.4,Ideal,E,SI1,62.2,54.0,1074,4.76,4.72,2.95
0.97,Fair,F,SI1,56.4,66.0,4063,6.59,6.54,3.7
0.56,Ideal,I,VVS1,62.0,56.0,1698,5.29,5.26,3.27
1.13,Ideal,G,VVS1,59.6,57.0,9872,6.89,6.81,4.08
0.72,Very Good,E,VS2,59.8,57.0,3270,5.84,5.89,3.51
0.59,Ideal,F,SI1,61.7,56.0,1652,5.36,5.4,3.32
0.33,Ideal,F,VS2,61.6,56.0,854,4.46,4.44,2.74
0.32,Premium,G,VS2,61.5,58.0,561,4.35,4.4,2.69
0.37,Premium,E,SI1,61.8,58.0,833,4.64,4.59,2.85
0.72,Good,D,VS2,64.0,54.0,2827,5.68,5.7,3.64
0.5,Ideal,D,VS2,61.8,56.0,1893,5.11,5.14,3.16
1.01,Good,D,SI1,63.9,61.0,5055,6.28,6.31,4.02
0.53,Ideal,D,VS2,61.2,57.0,1857,5.2,5.26,3.2
2.06,Premium,G,SI2,62.7,58.0,17650,8.12,8.09,5.08
0.58,Fair,E,VS1,57.9,56.0,2192,5.52,5.49,3.19
1.0,Premium,F,VS1,62.3,61.0,7336,6.38,6.33,3.96
0.35,Ideal,I,IF,62.5,55.0,945,4.54,4.52,2.83
0.7,Ideal,F,VS1,61.5,55.0,3261,5.73,5.75,3.53
0.37,Ideal,D,SI1,61.1,57.0,823,4.63,4.64,2.83
0.31,Premium,G,VS1,61.8,59.0,802,4.35,4.32,2.68
0.33,Ideal,F,VS2,62.3,55.0,666,4.42,4.47,2.77
1.5,Very Good,F,VS1,60.5,55.0,15585,7.39,7.48,4.5
0.95,Very Good,E,SI2,58.7,63.0,3527,6.43,6.37,3.76
0.41,Premium,D,SI1,62.1,59.0,1015,4.76,4.74,2.95
1.23,Very Good,G,SI2,60.8,59.0,5037,6.88,6.97,4.21
1.5,Premium,G,VS1,60.2,58.0,13720,7.41,7.38,4.45
1.09,Premium,D,SI2,61.9,61.0,3961,6.58,6.54,4.06
0.41,Very Good,E,SI1,60.0,58.0,674,4.79,4.88,2.9
0.73,Very Good,E,SI1,57.7,61.0,2844,5.92,5.96,3.43
1.06,Ideal,F,I1,61.8,55.0,3544,6.55,6.58,4.06
0.32,Ideal,E,VVS2,61.0,55.0,808,4.43,4.45,2.71
1.21,Very Good,F,SI1,59.4,56.0,6708,6.95,7.0,4.14
0.41,Very Good,F,IF,61.6,58.0,1313,4.75,4.79,2.94
0.31,Ideal,H,VVS2,61.4,55.0,609,4.37,4.39,2.69
1.28,Good,J,SI1,63.4,59.0,4878,6.84,6.89,4.35
0.36,Premium,G,VS2,62.5,58.0,756,4.55,4.51,2.83
0.57,Ideal,E,VS1,61.0,56.0,2297,5.38,5.4,3.29
1.05,Very Good,G,SI2,62.6,62.0,4516,6.45,6.49,4.05
0.29,Very Good,G,VS2,61.9,55.0,471,4.25,4.28,2.64
0.93,Ideal,D,SI2,62.5,55.0,3990,6.2,6.24,3.89
1.64,Premium,I,SI2,61.3,58.0,8743,7.62,7.58,4.66
1.01,Very Good,D,SI1,63.6,59.0,6270,6.33,6.37,4.04
0.23,Very Good,E,VVS1,62.1,58.0,530,3.9,3.93,2.43
0.61,Premium,F,VS2,59.6,61.0,2075,5.58,5.5,3.3
0.54,Ideal,F,VVS2,61.2,55.0,2333,5.27,5.25,3.22
0.31,Ideal,D,VS1,60.5,55.0,683,4.39,4.43,2.67
0.61,Ideal,G,VVS1,62.7,58.0,2544,5.39,5.43,3.39
1.51,Premium,F,SI1,61.4,58.0,11817,7.43,7.35,4.54
0.9,Ideal,F,SI1,61.3,56.0,4724,6.21,6.23,3.81
0.35,Ideal,F,VVS2,61.2,56.0,872,4.56,4.58,2.8
0.56,Very Good,F,SI1,63.3,56.0,1338,5.26,5.22,3.32
0.31,Very Good,H,VVS2,62.4,58.0,625,4.28,4.31,2.68
0.41,Ideal,F,VVS2,62.5,56.0,1192,4.75,4.72,2.96
0.6,Premium,E,VS1,61.0,61.0,1875,5.46,5.39,3.31
0.35,Ideal,E,VS1,61.9,56.0,1063,4.53,4.51,2.8
0.76,Ideal,E,SI2,62.8,56.0,2873,5.78,5.82,3.64
0.58,Ideal,D,SI1,61.1,57.0,1737,5.36,5.41,3.29
0.39,Premium,E,VS2,61.3,61.0,951,4.7,4.66,2.87
0.7,Ideal,E,SI1,62.8,56.0,2537,5.69,5.72,3.58
0.27,Very Good,F,VVS2,60.8,59.0,591,4.17,4.19,2.54
1.5,Very Good,H,SI1,61.0,55.0,9987,7.35,7.44,4.51
1.51,Premium,F,VS2,62.2,60.0,13474,7.25,7.34,4.54
