age,black,clerical,construc,educ,earns74,gdhlth,inlf,sleep,slpnaps,spsepay,totwrk,union,yrsmarr
28,0,0.0,0.0,13,0,1,1,1905,1905,0,3418,0,4
35,0,1.0,0.0,12,6750,1,1,2926,3001,0,2250,0,0
36,0,0.0,0.0,12,0,1,1,2603,2603,400,2638,0,6
59,0,0.0,0.0,12,9500,0,1,3238,3292,0,3173,0,0
26,0,0.0,0.0,12,4500,1,1,3888,3933,4000,3446,0,2
24,0,0.0,1.0,16,0,1,1,2716,2716,1300,3588,0,1
28,1,0.0,0.0,16,13750,1,1,3245,3275,0,2961,0,0
39,0,0.0,0.0,16,42500,1,1,3158,3158,4000,2778,0,0
33,0,0.0,0.0,17,42500,1,1,3105,3165,15000,3080,0,5
28,0,0.0,0.0,17,16250,1,1,3515,3665,0,3556,1,0
33,0,0.0,0.0,12,18750,1,1,3330,3330,0,2788,0,11
47,0,0.0,0.0,12,3500,1,1,4153,5128,1500,1100,1,22
31,0,0.0,0.0,16,0,1,1,2955,2955,0,3116,0,7
26,0,1.0,0.0,12,16250,0,1,2200,2838,0,2506,0,0
31,0,0.0,0.0,15,32500,1,1,2885,3073,0,2763,0,13
38,0,0.0,0.0,16,0,1,1,3345,3495,4600,3048,0,15
44,0,0.0,0.0,17,6750,1,1,2765,2978,0,2511,0,0
49,0,0.0,0.0,12,0,0,1,3928,3953,0,3268,0,30
56,0,0.0,0.0,11,13750,1,1,2833,3406,12000,3242,1,35
41,0,0.0,1.0,12,1000,1,1,3750,3750,0,2550,0,19
36,0,0.0,0.0,12,16250,1,1,3328,3328,6000,3188,1,15
36,0,0.0,0.0,9,18750,1,1,3795,3848,0,1555,1,18
37,0,0.0,0.0,12,0,1,1,3363,3513,0,2743,0,17
23,0,0.0,0.0,9,2500,0,1,2280,2280,900,5043,0,0
29,0,0.0,0.0,10,6750,1,1,4151,4176,0,3570,0,5
29,0,0.0,0.0,17,6750,1,1,3266,3266,0,2883,0,0
26,0,0.0,0.0,16,6750,1,1,3570,3570,8066,2398,1,2
29,0,0.0,0.0,16,0,1,1,2885,2885,0,2663,0,10
25,0,0.0,0.0,17,11750,1,1,2879,2879,0,2363,0,0
24,0,0.0,0.0,14,1000,1,1,2790,2790,0,1800,1,0
23,0,0.0,0.0,16,11750,1,1,2799,2799,15000,2700,0,0
28,0,0.0,0.0,12,16250,1,1,3173,3211,12000,3031,0,5
29,0,0.0,0.0,17,13750,1,1,3308,3308,0,2438,0,7
39,0,0.0,0.0,12,42500,1,1,3305,3305,18000,2620,0,19
31,0,0.0,0.0,12,9500,1,1,2975,3646,0,2698,0,0
50,0,0.0,0.0,8,2500,1,1,3316,3466,1575,2970,0,28
36,0,0.0,0.0,10,8250,1,1,3226,3226,7500,2430,0,15
28,0,0.0,0.0,12,1000,1,1,3635,3635,0,2250,0,5
50,0,0.0,0.0,11,2500,1,1,3233,3683,2200,2888,0,26
50,0,0.0,0.0,12,0,1,1,3348,3348,0,1345,0,28
50,0,0.0,0.0,13,13750,1,1,2630,2630,0,2925,0,0
55,0,1.0,0.0,12,8250,1,1,2858,2858,0,3976,0,0
34,0,0.0,0.0,16,8250,1,1,3203,3271,13500,2205,0,12
44,0,0.0,1.0,12,16250,1,1,3451,3551,0,1208,1,0
30,0,0.0,0.0,16,13750,1,1,3008,3008,0,2905,1,4
23,0,0.0,0.0,9,6750,1,1,2821,2851,0,3825,0,2
32,0,0.0,0.0,16,13750,1,1,3525,3680,600,2348,0,7
40,0,0.0,0.0,15,0,1,1,3150,3210,0,1825,0,18
34,0,0.0,0.0,10,8250,1,1,3113,3113,8500,2563,0,15
23,0,0.0,0.0,16,11750,1,1,2816,2816,12000,2576,0,0
24,0,0.0,0.0,12,0,1,1,3105,3105,0,2275,0,4
39,0,0.0,0.0,12,4500,1,1,3605,3605,0,3595,0,18
39,0,0.0,0.0,17,18750,1,1,3611,3611,0,2575,0,0
33,0,0.0,0.0,16,27500,1,1,3128,3128,0,2843,0,11
31,0,0.0,0.0,12,18750,1,1,3213,3213,17000,2188,1,8
37,0,0.0,0.0,14,16250,1,1,3860,6110,6000,0,0,17
60,0,0.0,0.0,6,2500,0,1,4275,4388,0,2248,0,0
43,0,0.0,0.0,12,16250,1,1,3076,3701,3000,2876,0,23
34,0,0.0,0.0,16,18750,1,1,4313,4313,0,2758,0,9
37,0,1.0,0.0,16,8250,1,1,2885,2885,8600,2578,0,12
50,0,0.0,0.0,17,32500,1,1,3165,3165,0,2163,0,0
32,0,0.0,0.0,12,42500,1,1,3105,3555,48000,4075,0,12
47,0,0.0,0.0,12,0,1,1,3063,3103,0,2388,0,27
35,0,0.0,0.0,17,18750,1,1,3368,3368,13000,2048,0,8
62,0,0.0,0.0,16,16250,1,1,3415,3415,2500,2935,0,39
38,0,0.0,0.0,16,0,1,1,3508,3508,0,2400,0,6
51,0,0.0,0.0,16,21250,1,1,2788,2908,0,2325,0,0
32,0,0.0,0.0,12,13750,1,1,3180,3385,0,2108,0,0
49,0,0.0,0.0,12,13750,1,1,3123,3123,350,2483,0,24
36,0,0.0,0.0,17,10500,1,1,3388,3613,0,1913,1,14
41,0,0.0,0.0,17,23750,1,1,3610,3610,0,1738,0,17
34,0,0.0,0.0,12,0,1,1,3351,3456,0,3671,0,5
36,0,0.0,0.0,12,13750,1,1,2653,3088,0,3225,0,11
31,0,0.0,0.0,16,10500,1,1,3413,3533,600,4058,0,9
38,0,0.0,0.0,12,10500,1,1,3218,3278,11000,2713,0,16
32,0,0.0,0.0,12,10500,1,1,3045,3045,0,2982,0,10
35,0,0.0,0.0,12,4500,1,1,3433,3808,4500,3025,0,13
23,0,0.0,0.0,16,6750,1,1,3730,3888,9700,2213,1,2
27,0,0.0,0.0,15,9500,1,1,2970,2970,0,2125,0,6
47,0,1.0,0.0,12,2500,1,1,3475,3475,20000,2313,0,0
39,0,0.0,0.0,11,0,1,1,3430,3430,0,3140,0,22
34,0,1.0,0.0,14,13750,1,1,2910,2940,15000,625,0,17
52,0,0.0,0.0,7,6750,1,1,3570,3577,0,2350,0,0
45,0,0.0,0.0,12,16250,1,1,3060,3345,0,2745,1,23
61,0,0.0,0.0,17,13750,1,1,3495,3660,1200,2038,1,0
44,0,0.0,0.0,12,16250,0,1,2970,2970,0,2880,1,0
51,0,0.0,0.0,8,2500,0,1,3008,3423,2500,3331,0,27
49,0,0.0,0.0,15,13750,1,1,3428,3428,0,1175,1,26
64,0,0.0,0.0,10,13750,1,1,3288,3288,2000,1605,0,42
30,0,0.0,0.0,12,18750,1,1,2400,2400,0,3146,0,9
36,0,0.0,0.0,12,0,1,1,3070,3100,0,3135,0,6
26,0,0.0,0.0,15,13750,1,1,2250,2250,11500,4065,0,5
44,0,0.0,0.0,8,5500,0,1,3323,3628,6000,2968,1,24
28,0,0.0,0.0,12,10500,1,1,3023,3023,0,2791,0,0
59,0,0.0,0.0,13,18750,1,1,3505,3505,8250,2398,0,37
35,0,0.0,0.0,12,13750,1,1,3503,3503,0,1588,1,14
56,0,1.0,0.0,12,8250,1,1,3370,3370,0,2611,0,33
38,0,0.0,0.0,12,16250,1,1,3120,3120,0,2948,0,19
28,0,0.0,0.0,17,13750,1,1,3308,3308,14000,3038,0,2
50,0,0.0,0.0,14,0,1,1,3398,3421,0,1655,0,20
46,0,0.0,0.0,8,18750,1,1,3333,3393,0,2560,1,25
28,0,0.0,0.0,16,6750,1,1,2728,2923,0,1175,1,0
28,0,0.0,0.0,12,3500,0,1,3256,3256,0,1350,0,6
36,0,0.0,0.0,12,0,1,1,3250,3545,14000,3598,0,0
47,0,0.0,0.0,16,27500,1,1,2915,2915,0,2638,0,19
40,0,0.0,1.0,14,13750,1,1,4170,4290,0,3230,0,10
42,0,0.0,0.0,14,0,1,1,3030,3030,0,3311,0,20
41,1,0.0,0.0,16,8250,1,1,3668,3668,0,2218,1,0
44,1,0.0,0.0,17,6750,1,1,2303,2303,5500,3699,0,14
53,0,1.0,0.0,16,18750,1,1,3618,3688,17600,3569,0,32
39,0,0.0,0.0,11,16250,1,1,3316,3466,4500,1775,1,20
26,0,0.0,0.0,12,1000,1,1,3601,3676,12500,283,0,6
25,1,0.0,0.0,12,0,0,1,2413,2413,11000,400,0,0
32,1,0.0,0.0,6,6750,1,1,2771,2771,800,3533,1,10
32,0,1.0,0.0,12,10500,1,1,3383,3748,5700,2638,0,0
24,0,1.0,0.0,17,4500,0,1,3808,3808,0,1175,0,3
56,0,0.0,0.0,12,8250,1,1,3363,3363,5000,2426,0,28
34,0,0.0,0.0,10,3500,1,1,3675,3675,4000,2113,0,17
23,0,0.0,0.0,13,11750,1,1,3120,3195,3500,2477,0,0
29,0,1.0,0.0,12,18750,1,1,3536,3536,17000,2375,1,8
27,0,0.0,0.0,12,0,1,1,3253,3253,0,2813,0,8
58,0,1.0,0.0,10,13750,1,1,2885,2945,0,2625,0,0
56,0,0.0,0.0,12,21250,1,1,2560,2560,11000,3018,0,33
37,0,0.0,0.0,14,18750,1,1,2985,3007,0,4335,1,0
51,0,0.0,0.0,12,13750,0,1,3095,3095,14000,3105,0,0
50,0,0.0,0.0,12,13750,1,1,2985,2985,0,3194,0,28
39,0,0.0,0.0,16,23750,1,1,2243,2243,2700,2713,0,18
48,0,0.0,0.0,12,0,1,1,2838,3383,0,2338,0,20
50,0,0.0,0.0,16,27500,1,1,3375,3375,6000,938,0,29
26,0,0.0,0.0,16,13750,1,1,3355,3355,0,3151,1,1
51,0,0.0,0.0,11,16250,1,1,3743,3865,1000,0,1,29
39,0,0.0,0.0,16,18750,1,1,2701,2741,3600,3695,0,15
54,0,0.0,0.0,14,8250,1,1,2943,3003,9500,2575,0,27
28,0,0.0,0.0,12,4500,1,1,3463,3463,0,2380,0,1
37,0,1.0,0.0,12,10500,1,1,2723,2843,0,2781,0,0
26,0,0.0,0.0,14,8250,1,1,3875,4205,350,2088,0,4
35,0,0.0,0.0,17,13750,1,1,3115,3115,1000,2892,1,13
53,0,0.0,0.0,15,16250,1,1,2756,3566,0,1188,0,0
53,0,0.0,0.0,16,42500,1,1,3398,3398,3500,2088,0,30
27,0,0.0,0.0,12,5500,1,1,3098,3098,5500,3480,0,7
37,0,0.0,0.0,17,21250,1,1,2991,3111,0,2588,0,16
28,0,1.0,0.0,12,6750,1,1,3215,3215,4800,2688,0,9
29,0,0.0,0.0,17,13750,1,1,3611,3761,19000,1445,0,2
44,0,0.0,0.0,12,5500,1,1,3305,3455,5400,3050,0,22
26,0,0.0,0.0,12,5500,1,1,3367,3367,7000,2250,0,7
32,0,0.0,0.0,16,16250,1,1,2618,2618,0,2763,0,0
59,0,0.0,0.0,8,9500,0,1,3475,4200,0,3008,0,0
26,0,0.0,0.0,17,3500,1,1,3618,3618,0,2941,0,2
32,0,0.0,0.0,11,2500,0,1,3460,3545,0,650,0,0
27,0,0.0,0.0,14,8250,1,1,3250,3250,0,2700,0,8
57,0,0.0,0.0,9,4500,1,1,2648,3008,0,2775,0,0
26,0,0.0,0.0,12,0,1,1,3045,3165,0,2313,0,4
37,0,0.0,0.0,12,6750,0,1,3065,3065,7000,3003,1,14
24,0,0.0,0.0,14,2500,1,1,2875,2875,0,2301,0,1
33,0,0.0,0.0,12,11750,1,1,3090,4353,0,1806,0,14
33,0,0.0,0.0,17,10500,1,1,2798,2888,0,2366,1,0
27,0,0.0,0.0,14,8250,1,1,3610,3610,0,2466,0,0
45,0,0.0,0.0,8,16250,1,1,3403,3838,3000,2648,1,18
32,0,1.0,0.0,12,9500,1,1,3656,3881,4000,2010,1,9
30,0,0.0,0.0,17,13750,1,1,3348,3348,0,1760,0,7
35,0,0.0,0.0,12,4500,1,1,3130,3490,11500,3135,0,13
35,0,0.0,0.0,10,4500,1,1,3213,4084,0,1485,0,0
46,0,0.0,0.0,7,11750,0,1,3855,3855,0,2463,1,24
47,0,0.0,0.0,12,16250,1,1,3138,3183,0,2351,0,25
51,0,1.0,0.0,12,16250,1,1,3203,3541,0,2975,1,0
28,0,0.0,0.0,10,10500,1,1,2930,3050,0,1283,1,9
47,0,0.0,0.0,17,16250,1,1,2448,2448,6000,2488,0,19
46,0,0.0,0.0,12,3500,0,1,3556,4111,7900,826,0,0
42,0,1.0,0.0,14,8250,1,1,3660,3660,11000,2575,0,0
59,0,0.0,0.0,9,1000,1,1,2536,2536,0,2326,0,0
30,0,0.0,0.0,11,1000,1,1,2828,2945,7500,2700,1,12
35,0,0.0,0.0,12,6750,1,1,3103,3103,0,1350,1,0
23,0,0.0,0.0,12,5500,1,1,3730,3730,5750,1175,1,3
38,0,0.0,0.0,11,16250,1,1,2840,2840,14000,2353,1,20
61,0,0.0,0.0,12,3500,1,1,3210,3290,0,1563,0,0
51,0,0.0,0.0,8,4500,1,1,3650,3650,0,600,1,0
55,0,0.0,0.0,17,13750,1,1,2708,2768,7000,2501,0,25
33,0,0.0,0.0,10,3500,1,1,3530,3530,12000,2250,0,17
52,0,1.0,0.0,12,9500,1,1,4695,4695,10000,1533,1,0
27,0,0.0,0.0,15,13750,1,1,3639,3714,12500,2513,0,5
36,1,0.0,0.0,9,8250,1,1,2335,2428,0,2896,0,0
55,0,0.0,0.0,12,8250,1,1,2813,2813,0,2550,0,0
60,0,1.0,0.0,10,0,0,1,3088,3148,0,2747,0,38
40,0,0.0,0.0,11,9500,1,1,3710,3770,10000,2127,0,22
29,0,1.0,0.0,13,6750,1,1,3293,3518,0,1125,0,8
35,0,1.0,0.0,12,1000,1,1,3261,3441,10000,1125,0,16
35,0,0.0,0.0,12,4500,1,1,3540,3840,4000,3692,1,15
39,0,1.0,0.0,12,1000,1,1,3176,3221,0,2225,0,13
23,0,0.0,1.0,12,4500,0,1,3060,3060,0,2375,0,5
28,0,0.0,0.0,11,0,1,1,3590,3590,800,2100,0,1
28,0,0.0,0.0,17,4500,1,1,2923,2953,0,2243,1,0
54,0,1.0,0.0,13,6750,1,1,3020,3020,0,2275,0,0
46,0,1.0,0.0,11,0,1,1,3110,3110,15000,2393,0,0
52,0,1.0,0.0,12,11750,1,1,3898,3898,11000,2408,0,31
30,0,0.0,0.0,12,0,1,1,2841,2931,23000,2413,0,12
40,0,0.0,0.0,12,10500,1,1,3278,3518,13000,2420,0,16
40,0,0.0,0.0,17,4500,1,1,3151,3191,0,1263,1,22
28,1,0.0,0.0,10,10500,1,1,3165,3330,3000,2765,0,11
36,0,0.0,0.0,12,8250,1,1,3720,3860,8000,2100,0,8
30,0,0.0,0.0,12,8250,1,1,3675,3675,0,2425,0,0
37,0,0.0,1.0,12,9500,1,1,3300,3300,1500,3213,0,17
36,0,0.0,0.0,12,6750,0,1,2250,2250,8000,1200,1,14
31,0,0.0,0.0,12,8250,1,1,3298,3518,3746,2276,0,8
30,0,0.0,0.0,12,11750,1,1,3245,3433,1400,2475,0,4
53,0,0.0,0.0,11,8250,1,1,2770,3160,0,2300,0,29
37,1,1.0,0.0,12,8250,0,1,3383,3653,9000,2188,0,18
29,0,0.0,0.0,12,13750,1,1,3338,3338,0,2313,1,10
34,0,0.0,0.0,12,1000,0,1,3330,3330,2500,2300,0,2
38,0,0.0,0.0,12,0,1,1,3098,3586,0,2828,0,19
24,0,1.0,0.0,12,16250,1,1,3158,3158,1500,2200,0,5
52,0,0.0,0.0,14,5500,1,1,3404,3439,0,3748,0,26
38,0,0.0,0.0,9,13750,0,1,3038,3188,4500,2681,1,14
36,0,0.0,0.0,16,23750,1,1,3115,3115,21000,1860,0,18
60,0,0.0,0.0,12,10500,1,1,2623,2623,9000,4325,1,0
39,0,0.0,0.0,12,1000,1,1,3013,3013,1100,2313,0,16
50,0,0.0,0.0,12,11750,1,1,2895,2895,0,3411,0,0
28,0,0.0,0.0,12,2500,1,1,1485,1485,4000,2075,0,12
36,0,0.0,0.0,10,10500,1,1,2770,2770,0,2587,1,0
60,0,0.0,0.0,8,13750,1,1,3308,3428,4000,2975,1,23
32,0,0.0,0.0,13,0,1,1,3210,3255,0,2125,0,11
56,0,0.0,0.0,12,8250,1,1,3116,3206,9000,2628,1,35
47,0,0.0,1.0,8,13750,1,1,3183,3183,0,2388,1,0
61,0,0.0,0.0,12,1000,1,1,3330,4255,2400,2866,0,39
29,0,0.0,0.0,17,11750,0,1,3113,3188,0,2173,0,0
56,0,0.0,0.0,8,11750,1,1,2880,2880,0,2450,0,0
27,0,1.0,0.0,12,0,1,1,3308,3626,0,1613,0,5
45,0,0.0,0.0,9,10500,1,1,3428,3428,6600,3150,0,0
25,0,1.0,0.0,12,6750,1,1,3998,4081,9000,1350,0,4
26,0,0.0,0.0,10,10500,0,1,3965,3965,0,700,1,9
52,0,0.0,0.0,12,4500,1,1,3515,3515,0,2250,0,0
33,0,0.0,0.0,17,18750,1,1,3345,3345,18000,1955,0,8
37,0,0.0,0.0,17,4500,1,1,3638,3698,0,2125,1,7
30,0,0.0,0.0,13,0,1,1,2655,2655,0,938,0,6
52,0,0.0,0.0,17,16250,1,1,2618,2618,0,3869,1,27
23,0,0.0,0.0,12,9500,1,1,3450,3450,300,2450,1,2
44,0,1.0,0.0,12,5500,1,1,3188,3488,22000,2353,0,0
33,0,0.0,0.0,16,13750,1,1,3390,3940,0,2563,0,10
27,0,1.0,0.0,12,8250,1,1,3108,3108,10000,1863,0,5
65,0,0.0,0.0,7,13750,0,1,3825,3925,0,2143,0,0
30,0,0.0,0.0,16,16250,1,1,3778,3778,17000,1571,0,8
54,0,0.0,0.0,16,18750,1,1,3046,3278,6000,2571,0,32
29,0,0.0,0.0,16,16250,1,1,3333,3393,0,1818,0,8
49,0,0.0,1.0,12,3500,1,1,4575,4575,3700,0,0,27
25,1,0.0,0.0,12,10500,1,1,3263,3263,0,2250,0,4
58,0,1.0,0.0,12,27500,1,1,3113,3263,25000,2313,0,34
40,0,0.0,0.0,11,8250,0,1,4545,4695,0,835,1,0
40,0,0.0,0.0,12,0,1,1,3880,3918,0,2830,0,5
56,0,0.0,1.0,12,6750,0,1,3303,3548,0,2226,1,0
45,0,0.0,0.0,9,0,0,1,3388,3388,0,2325,0,25
52,0,0.0,0.0,10,8250,0,1,3278,3278,0,2140,1,0
31,0,0.0,0.0,17,10500,1,1,3376,3424,7500,2592,0,10
27,0,0.0,0.0,12,16250,1,1,2895,2895,6000,2313,1,5
31,0,0.0,0.0,14,21250,1,1,3216,3216,11000,2263,0,9
30,0,0.0,0.0,17,18750,1,1,2930,2930,800,2100,0,6
44,0,0.0,0.0,16,21250,1,1,3150,4135,0,1075,1,17
27,0,0.0,0.0,15,13750,1,1,3248,3248,1000,2238,0,6
28,0,1.0,0.0,14,6750,1,1,3983,5224,0,1168,0,0
57,0,0.0,0.0,12,1000,1,1,3218,3523,1800,1900,0,24
33,0,0.0,0.0,13,9500,1,1,2803,2803,0,2376,0,10
29,0,1.0,0.0,12,6750,1,1,3038,3038,9000,1800,0,5
32,0,0.0,0.0,12,13750,1,1,3150,3300,1000,2965,1,14
25,0,0.0,0.0,13,0,1,1,3405,3405,0,3466,0,4
50,0,0.0,0.0,12,2500,1,1,3548,3548,3000,1538,0,25
39,1,0.0,0.0,12,13750,0,1,3670,3670,0,2600,1,0
24,0,1.0,0.0,12,11750,0,1,2961,3724,7500,1675,1,4
31,0,0.0,0.0,12,13750,1,1,3530,3593,0,1113,1,9
25,0,0.0,0.0,12,13750,1,1,2668,2668,0,2400,1,7
44,0,0.0,0.0,7,16250,1,1,3233,3848,0,2288,1,25
62,0,0.0,0.0,17,32500,1,1,3750,3750,0,2226,0,37
44,0,0.0,0.0,12,18750,1,1,3203,3203,0,2001,0,23
35,0,1.0,0.0,12,2500,1,1,2948,3048,18750,2480,0,0
34,0,1.0,0.0,12,10500,1,1,3621,4034,0,2588,0,0
27,0,1.0,0.0,12,6750,1,1,3630,4165,8000,1213,0,5
32,0,0.0,0.0,12,0,1,1,3631,3631,0,1650,0,10
58,0,0.0,0.0,8,18750,1,1,2836,2836,0,2263,1,30
27,0,0.0,0.0,17,10500,1,1,2940,2948,11000,2163,0,10
59,1,0.0,0.0,14,18750,1,1,3943,3943,6000,958,0,34
23,0,0.0,0.0,12,8250,1,1,3378,3378,0,3185,0,0
45,0,0.0,0.0,8,13750,0,1,4140,4260,0,0,0,0
25,0,0.0,0.0,12,11750,1,1,2888,2888,1200,2931,1,1
52,0,0.0,0.0,17,16250,1,1,3030,3440,0,1138,0,0
29,0,0.0,0.0,12,13750,1,1,3705,3705,0,2363,0,6
24,0,0.0,0.0,16,13750,1,1,3795,4170,13200,1298,0,3
59,0,0.0,1.0,10,2500,1,1,3160,3160,2500,3103,0,36
39,0,0.0,0.0,10,1000,1,1,3075,3285,0,3261,0,13
33,1,0.0,1.0,12,21250,1,1,2678,2948,5500,2755,1,7
33,0,0.0,0.0,8,9500,0,1,4113,4113,0,2488,0,13
58,0,0.0,0.0,12,10500,1,1,3293,3843,0,2058,0,0
33,0,0.0,0.0,16,16250,1,1,2760,2760,0,2695,0,9
24,0,1.0,0.0,17,4500,1,1,3720,3720,3500,2113,0,2
47,0,0.0,0.0,12,21250,1,1,3840,3840,5600,1538,0,7
51,0,0.0,0.0,16,9500,1,1,3338,3711,0,1323,0,29
44,0,1.0,0.0,11,9500,1,1,4373,4373,15000,0,0,26
48,0,0.0,0.0,12,13750,1,1,2928,3138,4000,2735,1,27
36,0,0.0,0.0,12,0,1,1,3090,3125,0,3225,0,15
54,0,0.0,0.0,12,9500,1,1,2740,2740,10000,2375,0,27
25,0,0.0,0.0,12,3500,1,1,2496,2656,0,1762,0,1
56,0,0.0,0.0,17,10500,0,1,3098,3248,0,2601,0,0
28,0,0.0,0.0,12,0,1,1,2933,2933,0,2513,0,6
40,0,0.0,0.0,14,11750,1,1,3195,3570,0,1755,0,0
28,0,0.0,0.0,12,2500,1,1,3213,3273,0,2288,0,4
29,0,1.0,0.0,12,0,0,1,3015,3053,0,2640,0,7
33,0,0.0,0.0,17,18750,1,1,3698,3698,0,2518,0,0
26,0,0.0,0.0,12,10500,1,1,3488,3488,0,1880,1,5
54,0,0.0,0.0,12,27500,1,1,3335,3395,9000,2438,0,34
31,0,0.0,0.0,12,9500,1,1,2965,2965,10000,2551,1,12
56,0,0.0,0.0,13,13750,1,1,3823,3823,14000,2300,1,29
25,0,0.0,0.0,17,10500,1,1,3443,3443,0,2996,1,0
25,0,0.0,0.0,12,0,0,1,3560,3560,2000,2513,0,4
53,0,0.0,1.0,8,0,1,1,3461,3461,0,2300,0,15
26,0,0.0,0.0,12,5500,1,1,3178,3178,1100,2656,0,5
24,0,0.0,0.0,15,5500,1,1,3435,3435,8000,1920,1,1
45,0,0.0,0.0,17,13750,1,1,3211,3399,2000,1275,1,20
52,0,0.0,0.0,10,4500,0,1,3635,3665,0,465,0,34
23,0,1.0,0.0,15,21250,1,1,3378,3471,10500,1125,0,5
32,0,1.0,0.0,12,6750,1,1,3780,4618,0,1050,0,15
49,0,1.0,0.0,17,13750,1,1,2715,3015,50000,2850,0,25
44,0,1.0,0.0,12,13750,1,1,3436,3496,0,2250,0,0
24,0,0.0,0.0,13,6750,1,1,3285,3390,3500,2451,0,2
34,0,0.0,0.0,11,13750,1,1,3203,3203,0,2463,0,15
54,0,1.0,0.0,14,11750,0,1,3683,3683,11000,2150,0,31
40,0,0.0,0.0,12,13750,1,1,3135,3135,5000,2325,1,16
48,0,0.0,0.0,8,9500,1,1,3213,3213,1100,3273,0,0
27,0,1.0,0.0,15,10500,1,1,3365,3365,0,2203,0,0
33,0,0.0,0.0,17,13750,1,1,3278,3298,22000,1853,0,13
28,0,0.0,0.0,12,16250,1,1,3150,3463,0,3616,1,0
62,0,0.0,0.0,16,0,0,1,3750,3750,0,1963,0,38
64,0,1.0,0.0,17,6750,0,1,3418,5226,0,1126,0,0
31,0,1.0,0.0,12,9500,1,1,2910,3060,0,2450,0,0
29,0,0.0,0.0,16,13750,1,1,3683,3683,7950,1125,0,3
36,0,0.0,0.0,12,0,1,1,2311,2311,0,3996,0,13
44,0,0.0,0.0,8,16250,1,1,3368,3533,0,3071,1,24
43,0,0.0,0.0,12,8250,1,1,3453,3453,0,2325,0,0
46,0,0.0,0.0,11,9500,1,1,3870,3930,11000,2253,0,26
29,0,1.0,0.0,12,3500,1,1,2921,2921,0,2263,0,0
28,0,0.0,0.0,14,10500,1,1,3438,3438,0,2206,0,0
26,0,0.0,0.0,13,8250,0,1,3775,3775,7000,2711,1,4
62,0,1.0,0.0,10,13750,1,1,2945,3170,13000,1263,0,42
23,0,0.0,0.0,17,9500,1,1,3270,3270,4000,1960,0,2
35,1,1.0,0.0,16,8250,1,1,3405,3495,0,1470,0,0
32,0,0.0,0.0,14,0,1,1,3533,3533,0,2980,0,7
44,0,0.0,0.0,12,0,1,1,3320,3320,0,2085,0,12
29,0,1.0,0.0,12,6750,1,1,3030,3120,0,2270,0,0
42,0,0.0,0.0,12,6750,1,1,3563,3708,0,3391,1,17
24,1,1.0,0.0,16,6750,1,1,3470,3470,0,1660,0,0
27,0,0.0,0.0,14,8250,1,1,3130,3370,8250,2450,0,8
49,0,0.0,0.0,14,11750,0,1,3660,3720,15000,1163,0,31
43,0,0.0,0.0,8,0,1,1,4113,4113,0,1288,0,13
40,0,1.0,0.0,14,5500,1,1,2661,2901,4750,2485,0,9
27,0,0.0,0.0,12,9500,0,1,2115,2115,8000,2050,0,0
49,0,0.0,0.0,8,2500,1,1,3240,3390,14000,1038,0,28
27,0,1.0,0.0,12,11750,1,1,3480,3480,11500,1213,1,8
26,0,0.0,0.0,12,16250,1,1,4048,4308,26000,1558,1,5
44,0,0.0,0.0,8,5500,0,1,2956,2956,13000,1175,1,24
31,0,0.0,0.0,15,11750,1,1,2985,3125,12000,0,0,7
28,0,1.0,0.0,13,8250,0,1,2745,2783,11000,0,1,4
