usid,term,chief,name,issue,issue_description,liberal_flag,precedent
391US443,1967,Warren,RANEY et al. v. BOARD OF EDUCATION OF THE GOULD SCHOOL DISTRICT et al.,20050,"desegregation, schools",1,0
402US33,1970,Burger,DAVIS et al. v. BOARD OF SCHOOL COMMISSIONERS OF MOBILE COUNTY et al.,20050,"desegregation, schools",1,0
458US457,1981,Burger,WASHINGTON et al. v. SEATTLE SCHOOL DISTRICT NO. 1 et al.,20050,"desegregation, schools",1,0
474US254,1985,Burger,"VASQUEZ, WARDEN v. HILLERY",20040,"desegregation (other than as pertains to school desegregation, employment discrimination, and affirmative action)",1,0
498US237,1990,Rehnquist,"BOARD OF EDUCATION OF OKLAHOMA CITY PUBLIC SCHOOLS, INDEPENDENT SCHOOL DISTRICT NO. 89, OKLAHOMA COUNTY, OKLAHOMA v. ROBERT L. DOWELL et al.",20050,"desegregation, schools",0,0
407US493,1971,Burger,"PETERS v. KIFF, WARDEN",20040,"desegregation (other than as pertains to school desegregation, employment discrimination, and affirmative action)",1,0
413US455,1972,Burger,NORWOOD et al. v. HARRISON et al.,20050,"desegregation, schools",1,0
339US282,1949,Vinson,CASSELL v. TEXAS,20040,"desegregation (other than as pertains to school desegregation, employment discrimination, and affirmative action)",1,0
385US545,1966,Warren,WHITUS et al. v. GEORGIA,20040,"desegregation (other than as pertains to school desegregation, employment discrimination, and affirmative action)",1,0
345US559,1952,Vinson,AVERY v. GEORGIA,20040,"desegregation (other than as pertains to school desegregation, employment discrimination, and affirmative action)",1,0
350US85,1955,Warren,REECE v. GEORGIA,20040,"desegregation (other than as pertains to school desegregation, employment discrimination, and affirmative action)",1,0
393US385,1968,Warren,"HUNTER v. ERICKSON, MAYOR OF AKRON, et al.",20040,"desegregation (other than as pertains to school desegregation, employment discrimination, and affirmative action)",1,0
417US556,1973,Burger,"GILMORE et al. v. CITY OF MONTGOMERY, ALABAMA, et al.",20050,"desegregation, schools",0,0
391US450,1967,Warren,MONROE et al. v. BOARD OF COMMISSIONERS OF THE CITY OF JACKSON et al.,20050,"desegregation, schools",1,0
396US346,1969,Burger,TURNER et al. v. FOUCHE et al.,20040,"desegregation (other than as pertains to school desegregation, employment discrimination, and affirmative action)",1,0
382US296,1965,Warren,EVANS et al. v. NEWTON et al.,20040,"desegregation (other than as pertains to school desegregation, employment discrimination, and affirmative action)",1,0
495US33,1989,Rehnquist,MISSOURI et al. v. JENKINS et al.,20050,"desegregation, schools",1,0
395US225,1968,Warren,UNITED STATES v. MONTGOMERY COUNTY BOARD OF EDUCATION et al.,20050,"desegregation, schools",1,0
407US484,1971,Burger,UNITED STATES v. SCOTLAND NECK CITY BOARD OF EDUCATION et al.,20050,"desegregation, schools",1,0
389US24,1967,Warren,JONES v. GEORGIA,20040,"desegregation (other than as pertains to school desegregation, employment discrimination, and affirmative action)",1,0
393US400,1968,Warren,ALABAMA STATE TEACHERS ASSN. et al. v. ALABAMA PUBLIC SCHOOL AND COLLEGE AUTHORITY et al.,20050,"desegregation, schools",0,0
382US103,1965,Warren,BRADLEY et al. v. SCHOOL BOARD OF CITY OF RICHMOND et al.,20050,"desegregation, schools",1,0
396US19,1969,Burger,ALEXANDER et al. v. HOLMES COUNTY BOARD OF EDUCATION et al.,20050,"desegregation, schools",1,0
376US773,1963,Warren,ARNOLD et al. v. NORTH CAROLINA,20040,"desegregation (other than as pertains to school desegregation, employment discrimination, and affirmative action)",1,0
377US129,1963,Warren,COLEMAN v. ALABAMA,20040,"desegregation (other than as pertains to school desegregation, employment discrimination, and affirmative action)",1,0
339US637,1949,Vinson,MCLAURIN v. OKLAHOMA STATE REGENTS FOR HIGHER EDUCATION et al.,20050,"desegregation, schools",1,0
388US1,1966,Warren,LOVING et ux. v. VIRGINIA,20040,"desegregation (other than as pertains to school desegregation, employment discrimination, and affirmative action)",1,0
466US429,1983,Burger,PALMORE v. SIDOTI,20040,"desegregation (other than as pertains to school desegregation, employment discrimination, and affirmative action)",1,0
461US574,1982,Burger,BOB JONES UNIVERSITY v. UNITED STATES,20050,"desegregation, schools",1,0
358US1,1958,Warren,"COOPER et al., MEMBERS OF THE BOARD OF DIRECTORS OF THE LITTLE ROCK, ARKANSAS, INDEPENDENT SCHOOL DISTRICT, et al. v. AARON et al.",20050,"desegregation, schools",1,0
451US100,1980,Burger,CITY OF MEMPHIS et al. v. GREENE et al.,20040,"desegregation (other than as pertains to school desegregation, employment discrimination, and affirmative action)",0,0
425US284,1975,Burger,"HILLS, SECRETARY OF HOUSING AND URBAN DEVELOPMENT v. GAUTREAUX et al.",20040,"desegregation (other than as pertains to school desegregation, employment discrimination, and affirmative action)",1,0
410US431,1972,Burger,"TILLMAN et al. v. WHEATON-HAVEN RECREATION ASSN., INC., et al.",20040,"desegregation (other than as pertains to school desegregation, employment discrimination, and affirmative action)",1,0
396US229,1969,Burger,"SULLIVAN et al. v. LITTLE HUNTING PARK, INC., et al.",20040,"desegregation (other than as pertains to school desegregation, employment discrimination, and affirmative action)",1,0
478US265,1985,Burger,"PAPASAN, SUPERINTENDENT OF EDUCATION, et al. v. ALLAIN, GOVERNOR OF MISSISSIPPI, et al.",20050,"desegregation, schools",0,0
396US435,1969,Burger,EVANS et al. v. ABNEY et al.,20040,"desegregation (other than as pertains to school desegregation, employment discrimination, and affirmative action)",0,0
334US24,1947,Vinson,HURD ET UX. v. HODGE ET AL.,20040,"desegregation (other than as pertains to school desegregation, employment discrimination, and affirmative action)",1,0
402US39,1970,Burger,"MCDANIEL, SUPERINTENDENT OF SCHOOLS, et al. v. BARRESI et al.",20050,"desegregation, schools",1,0
349US375,1954,Warren,WILLIAMS v. GEORGIA,20040,"desegregation (other than as pertains to school desegregation, employment discrimination, and affirmative action)",1,0
523US392,1997,Rehnquist,TERRY CAMPBELL v. LOUISIANA,20040,"desegregation (other than as pertains to school desegregation, employment discrimination, and affirmative action)",1,0
332US633,1947,Vinson,OYAMA et al. v. CALIFORNIA,20040,"desegregation (other than as pertains to school desegregation, employment discrimination, and affirmative action)",1,0
332US631,1947,Vinson,SIPUEL v. BOARD OF REGENTS OF THE UNIVERSITY OF OKLAHOMA et al.,20050,"desegregation, schools",1,0
379US294,1964,Warren,"KATZENBACH, ACTING ATTORNEY GENERAL, et al. v. MCCLUNG et al.",20040,"desegregation (other than as pertains to school desegregation, employment discrimination, and affirmative action)",1,0
364US177,1959,Warren,WOLFE et al. v. NORTH CAROLINA,20040,"desegregation (other than as pertains to school desegregation, employment discrimination, and affirmative action)",0,0
369US31,1961,Warren,BAILEY et al. v. PATTERSON et al.,20040,"desegregation (other than as pertains to school desegregation, employment discrimination, and affirmative action)",0,0
373US668,1962,Warren,"MCNEESE et al. v. BOARD OF EDUCATION FOR COMMUNITY UNIT SCHOOL DISTRICT 187, CAHOKIA, ILLINOIS, et al.",20050,"desegregation, schools",1,0
390US333,1967,Warren,"LEE, COMMISSIONER OF CORRECTIONS OF ALABAMA, et al. v. WASHINGTON et al.",20040,"desegregation (other than as pertains to school desegregation, employment discrimination, and affirmative action)",1,0
414US563,1973,Burger,LAU et al. v. NICHOLS et al.,20050,"desegregation, schools",1,0
444US130,1979,Burger,"BOARD OF EDUCATION OF THE CITY SCHOOL DISTRICT OF NEW YORK et al. v. HARRIS, SECRETARY OF HEALTH, EDUCATION, AND WELFARE, et al.",20050,"desegregation, schools",1,0
458US527,1981,Burger,CRAWFORD et al. v. BOARD OF EDUCATION OF THE CITY OF LOS ANGELES et al.,20050,"desegregation, schools",0,0
329US40,1946,Vinson,UNITED STATES v. ALCEA BAND OF TILLAMOOKS ET AL.,20150,Indians (other than pertains to state jurisdiction over),1,0
329US69,1946,Vinson,RICHFIELD OIL CORP. v. STATE BOARD OF EQUALIZATION,80100,state or local government tax,0,0
329US90,1946,Vinson,AMERICAN POWER & LIGHT CO. v. SECURITIES & EXCHANGE COMMISSION,80120,federal or state regulation of securities,1,0
329US129,1946,Vinson,ALMA MOTOR CO. v. TIMKEN-DETROIT AXLE CO. ET AL.,90200,no merits: miscellaneous,0,0
329US173,1946,Vinson,CARTER v. ILLINOIS,10120,right to counsel (cf. indigents appointment of counsel or inadequate representation),0,0
329US187,1946,Vinson,BALLARD ET AL. v. UNITED STATES,20130,sex discrimination (excluding sex discrimination in employment),1,0
329US211,1946,Vinson,FISWICK ET AL. v. UNITED STATES,10400,statutory construction of criminal laws: conspiracy (cf. subconstitutional fair procedure: conspiracy),1,0
329US249,1946,Vinson,"FREEMAN, TRUSTEE, v. HEWIT, DIRECTOR OF GROSS INCOME TAX DIVISION",80100,state or local government tax,0,0
329US304,1946,Vinson,"EAGLES, POST COMMANDING OFFICER, v. UNITED STATES EX REL. SAMUELS",30130,conscientious objectors (cf. military draftee or military active duty) to military service,0,0
329US362,1946,Vinson,"ILLINOIS EX REL. GORDON, DIRECTOR OF LABOR, v. CAMPBELL, COLLECTOR OF INTERNAL REVENUE",120030,priority of federal fiscal claims: over those of the states or private entities,1,0
329US394,1946,Vinson,EDWARD KATZINGER CO. v. CHICAGO METALLIC MANUFACTURING CO.,80180,patents and copyrights: patent,1,0
329US402,1946,Vinson,MACGREGOR v. WESTINGHOUSE ELECTRIC & MANUFACTURING CO.,80180,patents and copyrights: patent,1,1
329US416,1946,Vinson,"INTERNATIONAL HARVESTER CO. v. EVATT, TAX COMMISSIONER",80100,state or local government tax,1,0
329US459,1946,Vinson,"LOUISIANA EX REL. FRANCIS v. RESWEBER, SHERIFF, ET AL.",10130,"cruel and unusual punishment, death penalty (cf. extra legal jury influence, death penalty)",0,0
329US565,1946,Vinson,"GARDNER, TRUSTEE, v. NEW JERSEY",80030,bankruptcy (except in the context of priority of federal fiscal claims),1,0
329US637,1946,Vinson,TRANSPARENT-WRAP MACHINE CORP. v. STOKES & SMITH CO.,80180,patents and copyrights: patent,0,0
329US649,1946,Vinson,ELLIS v. UNION PACIFIC RAILROAD CO.,80040,sufficiency of evidence: typically in the context of a jury's determination of compensation for injury or death,1,0
329US663,1946,Vinson,De MEERLEER v. MICHIGAN,10120,right to counsel (cf. indigents appointment of counsel or inadequate representation),1,0
330US1,1946,Vinson,EVERSON v. BOARD OF EDUCATION OF THE TOWNSHIP OF EWING ET AL.,30170,establishment of religion (other than as pertains to parochiaid:),0,0
330US75,1946,Vinson,UNITED PUBLIC WORKERS OF AMERICA (C. I. O.) ET AL. v. MITCHELL ET AL.,90340,"judicial administration: Supreme Court jurisdiction or authority on appeal or writ of error, from federal district courts or courts of appeals (cf. 753)",0,0
330US127,1946,Vinson,OKLAHOMA v. UNITED STATES CIVIL SERVICE COMMISSION,30010,"First Amendment, miscellaneous (cf. comity: First Amendment)",0,0
330US258,1946,Vinson,UNITED STATES v. UNITED MINE WORKERS OF AMERICA,10080,contempt of court or congress,0,0
330US386,1946,Vinson,TESTA ET AL. v. KATT,100050,national supremacy: commodities,1,0
330US422,1946,Vinson,"JOSEPH, COMPTROLLER, et al. v. CARTER & WEEKES STEVEDORING CO.",80100,state or local government tax,0,0
330US501,1946,Vinson,"GULF OIL CORP. v. GILBERT, DOING BUSINESS AS GILBERT STORAGE & TRANSFER CO.",90140,venue,1,0
330US518,1946,Vinson,KOSTER v. (AMERICAN) LUMBERMENS MUTUAL CASUALTY CO.,90140,venue,1,0
330US552,1946,Vinson,KOTCH ET AL. v. BOARD OF RIVER PORT PILOT COMMISSIONERS FOR THE PORT OF NEW ORLEANS ET AL.,20060,"employment discrimination: on basis of race, age, religion, illegitimacy, national origin, or working conditions.",0,0
330US585,1946,Vinson,PENFIELD COMPANY OF CALIFORNIA ET AL. v. SECURITIES & EXCHANGE COMMISSION,10080,contempt of court or congress,1,0
330US731,1946,Vinson,"LAND, CHAIRMAN, UNITED STATES MARITIME COMMISSION, ET AL. v. DOLLAR ET AL.",90320,judicial administration: jurisdiction or authority of federal district courts or territorial courts,1,0
330US767,1946,Vinson,BETHLEHEM STEEL CO. ET AL. v. NEW YORK STATE LABOR RELATIONS BOARD,100030,federal pre-emption of state legislation or regulation. cf. state regulation of business. rarely involves union activity. Does not involve constitutional interpretation unless the Court says it does.,1,0
331US145,1946,Vinson,HARRIS v. UNITED STATES,10050,search and seizure (other than as pertains to vehicles or Crime Control Act),0,0
331US218,1946,Vinson,RICE ET AL. v. SANTA FE ELEVATOR CORP. ET AL.,100030,federal pre-emption of state legislation or regulation. cf. state regulation of business. rarely involves union activity. Does not involve constitutional interpretation unless the Court says it does.,1,0
331US284,1946,Vinson,NEW YORK ET AL. v. UNITED STATES ET AL.,80220,federal or state regulation of transportation regulation: railroad,1,0
331US367,1946,Vinson,"CRAIG ET AL. v. HARNEY, SHERIFF",30010,"First Amendment, miscellaneous (cf. comity: First Amendment)",1,0
331US461,1946,Vinson,"COPE v. ANDERSON, RECEIVER",90520,"miscellaneous judicial power, especially diversity jurisdiction",0,0
331US477,1946,Vinson,MYERS v. READING COMPANY,80040,sufficiency of evidence: typically in the context of a jury's determination of compensation for injury or death,1,0
331US486,1946,Vinson,"GREENOUGH ET AL., TRUSTEES, v. TAX ASSESSORS OF NEWPORT ET AL.",80100,state or local government tax,1,0
331US532,1946,Vinson,UNITED STATES v. BAYER ET AL.,20240,military: active duty,0,0
331US549,1946,Vinson,RESCUE ARMY ET AL. v. MUNICIPAL COURT OF LOS ANGELES,90180,no merits: adequate non-federal grounds for decision,0,0
331US586,1946,Vinson,ORDER OF UNITED COMMERCIAL TRAVELERS OF AMERICA v. WOLFE,110030,miscellaneous interstate relations conflict,0,0
331US642,1946,Vinson,"WILLIAMS ET AL. v. AUSTRIAN ET AL., TRUSTEES",80030,bankruptcy (except in the context of priority of federal fiscal claims),1,0
331US682,1946,Vinson,"INTERSTATE NATURAL GAS CO., INC. v. FEDERAL POWER COMMISSION et al.",80300,federal and some few state regulation of public utilities regulation: gas producer,1,0
332US1,1946,Vinson,UNITED STATES v. PETRILLO,30010,"First Amendment, miscellaneous (cf. comity: First Amendment)",0,0
332US46,1946,Vinson,ADAMSON v. CALIFORNIA,10090,self-incrimination (other than as pertains to Miranda or immunity from prosecution),0,0
332US134,1946,Vinson,FOSTER et al. v. ILLINOIS,10120,right to counsel (cf. indigents appointment of counsel or inadequate representation),0,0
332US174,1946,Vinson,"SUNAL v. LARGE, SUPERINTENDENT, FEDERAL PRISON CAMP",30130,conscientious objectors (cf. military draftee or military active duty) to military service,0,0
332US194,1946,Vinson,SECURITIES & EXCHANGE COMMISSION v. CHENERY CORPORATION ET AL.,80120,federal or state regulation of securities,1,0
332US218,1946,Vinson,UNITED STATES v. YELLOW CAB CO. et al.,80010,antitrust (except in the context of mergers and union antitrust),1,0
332US258,1946,Vinson,"EX PARTE FAHEY, FEDERAL HOME LOAN BANK COMMISSIONER, ET AL.",90370,judicial administration: Supreme Court's original jurisdiction,0,0
332US261,1946,Vinson,FAY v. NEW YORK,10190,extra-legal jury influences: miscellaneous,0,0
332US301,1946,Vinson,UNITED STATES v. STANDARD OIL COMPANY OF CALIFORNIA ET AL.,80070,"liability, other than as in sufficiency of evidence, election of remedies, punitive damages",0,0
332US319,1946,Vinson,UNITED STATES v. NATIONAL LEAD CO. ET AL.,80010,antitrust (except in the context of mergers and union antitrust),0,0
332US19,1946,Vinson,UNITED STATES v. CALIFORNIA,100040,Submerged Lands Act (cf. federal-state ownership dispute),1,0
332US392,1947,Vinson,"INTERNATIONAL SALT CO., INC. v. UNITED STATES",80010,antitrust (except in the context of mergers and union antitrust),1,0
332US495,1947,Vinson,AERO MAYFLOWER TRANSIT CO. v. BOARD OF RAILROAD COMMISSIONERS OF MONTANA ET AL.,80100,state or local government tax,1,0
332US507,1947,Vinson,PANHANDLE EASTERN PIPE LINE CO. v. PUBLIC SERVICE COMMISSION OF INDIANA ET AL.,100030,federal pre-emption of state legislation or regulation. cf. state regulation of business. rarely involves union activity. Does not involve constitutional interpretation unless the Court says it does.,0,0
332US561,1947,Vinson,"MARINO v. RAGEN, WARDEN",10280,subconstitutional fair procedure: confession of error,1,0
332US581,1947,Vinson,UNITED STATES v. Di RE,10050,search and seizure (other than as pertains to vehicles or Crime Control Act),1,0
332US596,1947,Vinson,HALEY v. OHIO,10010,involuntary confession,1,0
332US708,1947,Vinson,"VON MOLTKE v. GILLIES, SUPERINTENDENT OF THE DETROIT HOUSE OF CORRECTION",10120,right to counsel (cf. indigents appointment of counsel or inadequate representation),1,0
332US742,1947,Vinson,LEE v. MISSISSIPPI,10010,involuntary confession,1,0
333US10,1947,Vinson,JOHNSON v. UNITED STATES,10050,search and seizure (other than as pertains to vehicles or Crime Control Act),1,0
333US56,1947,Vinson,"MAGGIO v. ZEITZ, TRUSTEE IN BANKRUPTCY",10080,contempt of court or congress,0,0
333US95,1947,Vinson,MUSSER ET AL. v. UTAH,90190,no merits: remand to determine basis of state or federal court decision (cf. judicial administration: state law),0,0
333US103,1947,Vinson,"CHICAGO & SOUTHERN AIR LINES, INC. v. WATERMAN STEAMSHIP CORP.",90120,judicial review of administrative agency's or administrative official's actions and procedures,0,0
333US196,1947,Vinson,COLE ET AL. v. ARKANSAS,40010,"due process: miscellaneous (cf. loyalty oath), the residual code",1,0
333US203,1947,Vinson,"ILLINOIS EX REL. McCOLLUM v. BOARD OF EDUCATION OF SCHOOL DISTRICT NO. 71, CHAMPAIGN COUNTY, ILLINOIS, ET AL.",30180,"parochiaid: government aid to religious schools, or religious requirements in public schools",1,0
333US257,1947,Vinson,IN RE OLIVER,10080,contempt of court or congress,1,0
333US287,1947,Vinson,UNITED STATES v. LINE MATERIAL CO. ET AL.,80010,antitrust (except in the context of mergers and union antitrust),1,0
333US364,1947,Vinson,UNITED STATES v. UNITED STATES GYPSUM CO. ET AL.,80010,antitrust (except in the context of mergers and union antitrust),1,0
333US507,1947,Vinson,WINTERS v. NEW YORK,30010,"First Amendment, miscellaneous (cf. comity: First Amendment)",1,0
333US611,1947,Vinson,MASSACHUSETTS ET AL. v. UNITED STATES,120030,priority of federal fiscal claims: over those of the states or private entities,1,0
333US640,1947,Vinson,BUTE v. ILLINOIS,10120,right to counsel (cf. indigents appointment of counsel or inadequate representation),0,0
333US683,1947,Vinson,FEDERAL TRADE COMMISSION v. CEMENT INSTITUTE ET AL.,40010,"due process: miscellaneous (cf. loyalty oath), the residual code",1,0
333US740,1947,Vinson,ANDRES v. UNITED STATES,10220,extra-legal jury influences: jury instructions (not necessarily in criminal cases),1,0
334US37,1947,Vinson,FEDERAL TRADE COMMISSION v. MORTON SALT CO.,80010,antitrust (except in the context of mergers and union antitrust),1,0
334US62,1947,Vinson,REPUBLIC NATURAL GAS CO. v. OKLAHOMA ET AL.,90380,judicial administration: review of non-final order,0,0
334US100,1947,Vinson,UNITED STATES v. GRIFFITH ET AL.,80010,antitrust (except in the context of mergers and union antitrust),1,0
334US110,1947,Vinson,"SCHINE CHAIN THEATRES, INC. ET AL. v. UNITED STATES",80010,antitrust (except in the context of mergers and union antitrust),1,0
334US131,1947,Vinson,"UNITED STATES v. PARAMOUNT PICTURES, INC. ET AL.",80010,antitrust (except in the context of mergers and union antitrust),1,0
334US219,1947,Vinson,"MANDEVILLE ISLAND FARMS, INC. ET AL. v. AMERICAN CRYSTAL SUGAR CO.",80010,antitrust (except in the context of mergers and union antitrust),1,0
334US266,1947,Vinson,"PRICE v. JOHNSTON, WARDEN",10020,habeas corpus,1,0
334US343,1947,Vinson,SHERRER v. SHERRER,40060,due process: jurisdiction (jurisdiction over non-resident litigants),1,1
334US385,1947,Vinson,TOOMER et al. v. WITSELL et al.,20220,"residency requirements: durational, plus discrimination against nonresidents",1,0
334US410,1947,Vinson,TAKAHASHI v. FISH AND GAME COMMISSION ET AL.,20120,employability of aliens (cf. immigration and naturalization),1,0
334US495,1947,Vinson,UNITED STATES v. COLUMBIA STEEL CO. ET AL.,80020,mergers,0,0
334US541,1947,Vinson,ESTIN v. ESTIN,110030,miscellaneous interstate relations conflict,0,0
334US558,1947,Vinson,SAIA v. NEW YORK,30010,"First Amendment, miscellaneous (cf. comity: First Amendment)",1,0
334US653,1947,Vinson,"CENTRAL GREYHOUND LINES, INC. v. MEALEY et al.",80100,state or local government tax,0,0
334US672,1947,Vinson,"WADE v. MAYO, STATE PRISON CUSTODIAN",90040,comity: habeas corpus,1,0
334US699,1947,Vinson,TRUPIANO ET AL. v. UNITED STATES,10050,search and seizure (other than as pertains to vehicles or Crime Control Act),1,0
334US736,1947,Vinson,"TOWNSEND v. BURKE, WARDEN",10010,involuntary confession,1,0
334US742,1947,Vinson,"LICHTER ET AL., DOING BUSINESS AS SOUTHERN FIREPROOFING CO., v. UNITED STATES",40070,"due process: takings clause, or other non-constitutional governmental taking of property",1,0
335US1,1947,Vinson,SHAPIRO v. UNITED STATES,10110,"self-incrimination, immunity from prosecution",0,0
335US80,1947,Vinson,"MEMPHIS NATURAL GAS CO. v. STONE, CHAIRMAN, STATE TAX COMMISSION",80100,state or local government tax,1,0
335US106,1947,Vinson,UNITED STATES v. CONGRESS OF INDUSTRIAL ORGANIZATIONS ET AL.,80140,"corruption, governmental or governmental regulation of other than as in campaign spending",0,0
335US160,1947,Vinson,"LUDECKE v. WATKINS, DISTRICT DIRECTOR OF IMMIGRATION",20110,deportation (cf. immigration and naturalization),0,0
335US281,1948,Vinson,"MacDOUGALL ET AL. v. GREEN, GOVERNOR OF ILLINOIS, ET AL.",20030,ballot access (of candidates and political parties),0,0
335US410,1948,Vinson,UPSHAW v. UNITED STATES,10010,involuntary confession,1,0
