wage,abil,educ,exper,region,region18,motheduc,fatheduc,brkhme14,sibs,urban,urban18
1.829268,1.057115,9,11,north_central,north_central,9,10,0,4,1,1
4.807693,-3.182608,10,11,north_central,north_central,8,7,0,9,1,1
7.211538,-0.8227264,10,12,south,north_central,8,8,1,3,1,1
9.384164,-1.181245,12,13,north_central,north_central,12,12,0,1,1,1
10.88534,-0.5111351,11,16,north_central,north_central,9,16,0,5,1,1
8.0,1.569533,12,11,north_central,north_central,12,16,0,3,1,1
10.24025,4.430475,16,7,north_central,north_central,12,16,0,7,1,1
27.40385,3.249971,15,12,north_central,north_central,12,12,0,3,1,1
19.11111,4.574099,16,8,north_central,north_central,12,16,0,4,1,1
4.40367,1.235797,12,13,west,north_central,12,18,0,2,1,1
9.052925,1.614712,17,6,west,south,12,13,0,1,1,1
8.984375,-0.8257855,13,13,north_central,north_central,12,12,0,5,1,1
17.0068,0.5795907,12,12,north_central,north_central,12,12,0,5,1,1
3.755868,3.77603,12,12,north_central,north_central,12,12,0,4,1,1
5.691057,5.994742,12,8,north_central,north_central,12,12,0,4,1,1
9.275619,2.317609,12,8,north_central,north_central,12,16,1,3,1,1
11.53846,1.43026,17,7,north_central,north_central,14,16,0,1,1,1
12.98077,3.877995,18,10,west,north_central,12,16,0,4,1,1
15.29412,3.973776,12,14,north_central,north_central,12,12,1,1,1,1
9.523809,3.060999,12,15,north_central,north_central,12,15,1,1,1,1
7.936508,-1.729659,13,13,south,north_central,6,12,1,7,1,1
10.29412,1.931529,15,8,north_central,north_central,16,16,0,3,1,1
15.69678,2.390199,12,10,north_central,north_central,11,12,0,5,1,1
35.29412,2.914598,12,8,north_central,north_central,11,14,0,5,1,1
11.53846,-1.049858,12,9,north_central,north_central,16,16,0,7,1,1
11.25,0.5987233,12,10,north_central,north_central,16,12,1,1,1,1
9.072165,-3.464847,12,10,north_central,north_central,9,9,0,3,1,1
17.22533,-1.77537,8,15,north_central,north_central,10,10,1,2,1,1
7.336757,-1.998131,8,13,north_central,north_central,10,10,1,2,1,1
12.01923,-1.94826,10,13,north_central,north_central,13,14,0,2,1,1
5.608974,3.427082,20,6,west,north_central,12,14,0,2,1,1
23.11896,4.189647,15,8,west,north_central,12,14,0,2,1,1
14.50314,2.595268,12,12,north_central,north_central,12,18,0,1,1,1
21.75732,3.923822,16,12,north_central,north_central,17,17,0,2,1,1
14.58333,4.428095,17,8,north_central,north_central,16,13,1,0,1,1
15.38461,0.8088208,12,14,north_central,north_central,12,16,0,5,1,1
12.06226,2.939292,16,6,north_central,north_central,12,16,0,1,1,1
9.082338,4.112227,13,8,north_central,north_central,12,10,0,2,1,1
8.4134620000000009,3.436007,12,12,north_central,north_central,11,8,0,4,1,1
23.77404,-0.7396109,12,13,north_central,north_central,12,12,0,2,1,1
1.25,0.5651463,12,10,north_central,north_central,12,12,0,2,1,1
17.55196,3.374138,16,5,north_central,north_central,12,12,0,2,1,1
8.888889,3.499125,12,12,north_central,north_central,10,14,0,2,1,1
14.42308,-1.772101,12,16,north_central,north_central,3,12,0,5,1,1
3.77907,-2.458735,9,15,north_central,north_central,12,12,0,2,1,1
2.112676,0.2633751,8,16,north_central,north_central,12,12,0,2,1,1
13.88889,0.936336,13,10,north_central,north_central,11,10,0,0,0,1
7.459208,0.3580149,10,14,north_central,north_central,9,9,1,4,1,1
7.114625,2.033818,15,11,north_central,north_central,9,6,1,4,1,1
7.075472,0.3190073,12,11,south,north_central,8,8,1,4,0,1
5.15873,-0.4493136,11,9,north_central,north_central,12,9,0,2,1,1
5.294117,0.2114716,10,16,north_central,north_central,12,10,0,3,1,0
13.99632,2.272925,12,13,north_central,north_central,12,12,0,2,1,0
8.302583,-2.767139,12,14,south,north_central,8,6,0,5,1,1
9.437387,0.5715318,11,15,north_central,north_central,11,12,1,6,0,1
35.42435,2.342438,12,14,west,north_central,12,12,0,2,1,0
15.86539,2.584257,14,10,north_central,north_central,12,12,0,3,0,1
15.95139,1.659991,12,15,north_central,north_central,12,12,0,3,0,0
20.30457,1.950166,12,13,north_central,north_central,12,12,0,3,0,1
7.407407,0.5693632,11,9,north_central,north_central,12,8,1,6,1,1
20.33898,-1.310713,12,11,north_central,north_central,13,14,0,3,0,1
21.2674,0.035848,15,6,south,north_central,13,14,0,3,1,1
9.134615,-2.309443,9,13,north_central,north_central,12,12,0,3,1,1
9.748427,0.8516435,12,12,north_central,north_central,12,12,0,1,1,1
10.1922,1.482138,12,13,north_central,north_central,12,14,0,1,1,1
4.895561,0.9411445,14,10,north_central,north_central,10,12,0,4,1,1
15.20913,5.275455,15,8,north_central,north_central,12,13,0,2,1,1
12.47578,3.971043,15,7,north_central,north_central,12,13,0,2,1,1
10.20036,3.934991,15,5,north_central,north_central,12,13,0,2,1,1
13.85261,3.084692,12,9,north_central,north_central,12,11,0,2,1,1
18.02198,4.32687,15,9,north_central,north_central,11,12,0,2,1,0
9.32971,1.449399,12,9,south,north_central,12,12,0,4,1,1
9.448819,-1.171313,12,11,south,north_central,11,6,0,5,0,1
10.76923,-1.505991,12,11,north_central,north_central,12,12,0,3,1,1
22.1219,3.72859,15,7,north_central,north_central,12,12,0,3,1,1
23.07692,4.042687,18,9,north_central,north_central,12,12,0,4,1,1
6.837607,3.575964,20,5,north_central,north_central,12,13,0,1,1,1
9.134615,2.135956,12,13,north_central,north_central,16,17,0,1,1,1
16.32302,3.032691,15,5,north_central,north_central,12,14,0,0,1,1
38.7538,-1.300904,12,15,north_central,north_central,12,12,0,1,1,1
6.65236,-0.2990798,14,9,north_central,north_central,12,12,0,1,1,1
7.075472,-1.031897,12,11,north_central,north_central,12,16,0,1,1,1
6.401138,0.3060747,15,10,northeast,north_central,16,16,0,2,0,1
26.92308,3.353253,16,9,north_central,north_central,12,16,0,1,1,1
4.177546,0.2390968,12,9,north_central,north_central,13,11,0,3,1,1
8.109262,1.846734,12,11,north_central,north_central,12,11,0,4,1,1
15.1671,1.859035,12,13,north_central,north_central,13,12,1,1,1,1
8.552631,3.010865,12,11,north_central,north_central,11,12,1,4,1,1
8.604206,0.7821424,12,13,north_central,north_central,14,16,0,3,1,1
12.90123,0.9117463,17,5,north_central,north_central,12,16,0,3,1,1
12.11539,2.177209,12,13,north_central,north_central,12,16,0,1,1,1
8.29646,2.2297,9,11,northeast,north_central,12,13,0,5,1,1
16.21074,4.47736,15,9,north_central,north_central,16,17,0,4,0,1
11.48754,4.073317,17,6,north_central,north_central,16,17,0,4,1,1
13.33333,3.678176,15,9,north_central,north_central,16,16,0,6,1,1
10.09615,2.724484,15,7,north_central,north_central,16,16,0,6,1,1
11.20448,-0.4576917,12,14,north_central,north_central,14,14,1,3,1,0
19.33665,4.435529,17,9,north_central,north_central,12,14,0,4,0,1
13.75546,2.07471,12,12,north_central,north_central,12,14,0,4,1,1
4.193671,2.21738,15,12,north_central,north_central,11,10,0,7,1,0
10.2529,2.879605,15,7,north_central,north_central,13,16,0,1,1,1
7.118928,3.120147,15,8,north_central,north_central,12,12,0,4,1,1
9.23913,0.1793581,12,13,north_central,north_central,12,12,0,3,1,1
17.17742,4.018058,15,7,north_central,north_central,12,12,0,3,1,1
7.862903,-0.9145982,12,8,north_central,north_central,12,12,0,3,1,1
20.19231,1.764937,12,12,north_central,north_central,10,11,0,6,1,1
17.3449,4.0001,15,8,north_central,north_central,12,13,0,2,1,1
24.1652,3.791395,15,12,north_central,north_central,12,14,0,2,1,1
8.620689,4.241092,14,8,north_central,north_central,12,12,0,6,1,1
24.24242,0.7735314,13,13,north_central,north_central,12,12,0,3,1,1
20.76125,4.738628,17,8,north_central,north_central,12,12,0,0,1,1
10.07092,1.466474,16,10,north_central,north_central,12,12,0,1,1,1
7.0609,3.740263,15,7,north_central,north_central,12,12,0,1,0,1
15.66069,0.8805779,12,9,north_central,north_central,12,12,0,3,1,1
16.34615,2.624413,12,14,north_central,north_central,12,12,0,2,1,0
7.692307,1.994858,12,9,north_central,north_central,12,12,0,2,1,1
11.15385,-0.4259872,12,11,north_central,north_central,12,12,0,6,0,1
42.33302,4.099738,14,11,north_central,north_central,15,16,0,3,1,1
23.32362,4.675533,15,9,south,north_central,15,16,0,3,1,1
22.74837,4.703392,15,7,north_central,north_central,15,16,0,3,1,1
12.7193,2.148189,12,13,north_central,north_central,12,12,0,4,0,0
11.17021,3.853446,12,10,north_central,north_central,12,12,0,2,1,1
9.134615,4.424689,12,9,north_central,north_central,11,12,0,3,1,1
20.08928,-0.467596,15,11,north_central,north_central,12,20,0,7,1,1
13.47305,3.510706,15,10,north_central,north_central,12,16,0,3,1,1
4.398827,0.9693246,12,12,north_central,north_central,12,15,0,2,1,1
9.134615,1.577513,12,8,north_central,north_central,12,12,0,1,1,1
30.09259,1.256415,12,15,north_central,north_central,12,11,0,2,1,1
18.21946,3.917685,15,5,north_central,north_central,10,12,0,2,1,1
13.46154,1.121008,12,10,north_central,north_central,12,12,0,0,0,1
6.153846,-2.533699,12,10,north_central,north_central,8,8,0,3,0,1
6.25,4.551509,14,6,north_central,north_central,9,8,0,3,1,1
15.40719,3.1712920000000002,15,11,north_central,north_central,16,16,0,2,0,1
12.63264,-3.866938,8,13,north_central,north_central,12,16,1,6,1,1
5.288462,-2.159902,12,8,north_central,north_central,12,9,0,2,1,1
12.87726,4.364584,16,7,north_central,north_central,8,12,0,2,1,1
28.74252,4.295691,17,5,west,north_central,12,12,0,3,1,1
12.69451,2.846088,15,6,north_central,north_central,12,12,0,3,1,1
10.3321,3.673685,16,9,north_central,north_central,12,16,1,1,1,1
6.428571,0.6503411,12,13,north_central,north_central,10,14,0,6,0,1
18.26923,3.994273,12,14,north_central,north_central,12,12,1,3,1,1
13.94231,2.687243,12,15,north_central,north_central,12,12,0,7,1,1
11.54734,2.68583,13,10,south,south,16,16,0,3,1,1
12.03883,2.345575,12,12,south,south,8,12,0,1,1,0
9.134615,0.6248525,10,17,south,south,8,5,0,8,0,0
12.20044,0.7989707,12,14,northeast,south,12,9,0,2,1,0
7.287449,-2.102885,11,16,south,south,12,7,0,1,0,0
8.053691,2.257082,14,13,south,south,16,16,0,4,1,1
8.236101,1.646493,13,11,south,south,16,16,0,4,1,1
79.43263,2.018142,15,12,south,south,14,16,0,1,1,1
15.625,1.291923,12,16,south,south,12,16,0,0,0,1
8.653846,2.278732,10,11,south,south,13,12,0,3,1,1
11.01322,-2.96027,15,8,south,south,12,18,1,3,1,1
30.30303,0.8603345,12,10,south,south,12,14,0,3,1,1
16.47834,4.484144,15,10,south,south,14,11,0,2,1,1
9.488449,1.79256,15,5,south,south,12,18,0,2,1,1
14.90385,-0.5578937,13,13,south,south,14,9,0,2,1,1
5.731754,4.2078,15,7,south,south,12,12,0,2,1,1
4.326923,-3.920536,8,14,south,south,10,12,1,5,1,1
19.23077,-1.107142,12,11,west,west,12,13,0,4,1,1
8.264462,1.769558,11,15,south,south,11,11,0,3,0,1
8.173077,-1.345357,13,9,south,south,13,12,1,2,1,1
1.592357,0.0075692,9,11,south,south,12,12,0,1,1,1
16.05351,-2.14116,9,16,south,south,12,12,1,2,1,1
8.064516,0.3694806,12,12,south,south,12,12,0,5,1,1
9.153318,0.8715566,11,13,south,south,12,12,0,2,1,1
11.07011,1.612364,13,10,south,south,12,12,1,4,1,1
12.53602,1.003614,15,12,south,south,11,11,1,4,1,0
11.96302,2.439168,15,5,south,south,14,17,0,1,1,1
6.802721,-0.8088505,8,19,south,south,6,3,0,1,0,0
15.38461,3.693538,13,14,south,south,11,11,0,2,0,0
9.057971,1.306094,12,12,south,south,8,14,0,5,1,1
28.0112,3.37078,15,11,west,south,12,8,0,3,1,0
3.586207,-4.91838,12,13,south,south,8,0,0,0,0,1
7.011866,-3.021013,8,19,south,north_central,6,9,1,2,0,1
1.824818,-0.9796699,11,16,south,south,11,4,0,2,0,0
5.7692310000000004,-3.23546,9,16,south,south,9,3,0,4,0,1
14.38202,1.627817,12,14,south,south,10,12,0,3,1,1
11.00917,-1.185808,12,10,south,south,11,12,0,3,1,1
4.601933,-0.3699424,12,9,south,south,11,12,0,2,1,1
8.990385,1.433774,12,9,south,south,12,12,0,1,0,1
10.57692,-2.605558,12,16,south,south,12,12,0,3,1,1
16.82692,1.547025,13,11,south,south,12,12,0,3,1,1
23.10924,2.608145,14,12,north_central,south,12,12,0,1,1,1
17.30769,2.983861,15,6,south,south,14,20,1,8,1,1
7.445323,2.939816,15,9,northeast,northeast,12,16,0,7,1,0
13.39764,3.430274,15,8,south,south,12,16,0,7,0,1
5.665025,2.001849,12,12,south,south,11,11,0,3,1,1
11.23596,3.164538,12,14,south,south,12,16,0,3,0,0
10.98131,0.7490018,12,9,south,south,12,10,0,1,1,1
12.5,-0.669571,12,15,south,south,8,8,0,7,1,1
4.278846,-0.7940337,9,11,south,south,9,12,0,4,1,1
5.387572,3.344923,12,10,south,south,12,14,0,2,0,1
16.16815,0.7711733,15,12,south,south,10,20,0,3,1,1
17.34234,1.18698,15,9,south,south,10,20,0,3,1,1
1.023529,-4.118346,10,13,south,south,6,4,1,5,1,1
8.371616,0.6133271,10,17,south,north_central,10,10,0,1,1,0
8.333333,0.4242922,12,15,south,south,12,7,0,3,1,1
9.257951,4.200429,17,6,south,south,13,17,0,2,1,1
20.0,2.145633,13,15,south,south,12,10,0,1,1,0
14.85944,4.155759,15,9,south,south,12,12,1,1,1,0
32.14286,-0.5995222,12,13,south,south,6,9,0,1,0,1
17.68868,4.885482,16,6,south,south,16,16,0,3,1,1
4.674797,3.822263,12,13,south,south,12,19,0,3,1,1
17.78846,4.353277,13,7,south,south,14,16,0,3,0,1
6.936416,3.295461,17,9,south,south,13,12,0,1,1,1
11.21495,1.560619,11,11,south,south,12,11,0,2,0,1
6.555944,3.863326,13,14,north_central,south,12,16,1,9,1,1
5.835962,1.141238,11,14,west,west,12,13,1,5,1,1
13.87755,2.050756,12,13,south,west,12,14,0,4,1,1
8.75,3.921175,14,10,north_central,west,12,14,0,4,1,1
12.768370000000001,3.519193,12,10,west,west,12,14,0,4,0,1
5.219207,-0.3280686,12,10,west,west,12,14,0,3,1,1
17.43119,4.616819,18,7,west,west,15,8,0,6,1,0
9.519231,4.247675,17,4,west,west,13,14,0,2,1,1
13.78205,4.010229,15,8,west,west,12,15,0,3,1,1
16.34615,-0.5271431,10,12,west,west,12,12,0,3,1,1
13.0,-0.0153414,12,11,west,west,11,11,0,3,1,1
10.71429,0.7574296,12,9,west,west,11,11,0,3,1,1
27.91347,1.165591,12,15,west,west,12,10,1,7,1,1
21.95122,1.605593,12,8,west,west,12,12,0,2,1,1
5.813953,2.866234,12,11,north_central,west,12,12,0,3,0,1
5.882353,1.609997,13,7,west,west,12,12,0,3,1,1
9.011495,2.1338530000000002,12,11,west,west,12,12,0,5,1,1
61.95745,2.775396,16,8,west,west,12,8,0,4,1,1
54.60994,3.446674,15,12,west,west,12,12,0,4,1,1
19.23077,2.159045,16,10,west,west,14,18,0,2,1,1
15.38461,5.461836,15,6,west,west,16,14,0,3,1,1
7.450331,1.354732,9,11,west,west,16,14,0,3,1,1
8.679245,3.805242,14,7,west,west,12,12,0,3,1,1
18.04577,5.689522,16,5,west,west,12,16,0,3,1,1
8.605769,1.751891,12,10,west,west,12,12,0,6,1,1
12.0075,0.956888,12,10,west,west,12,12,0,6,1,1
11.57025,0.7518311,12,10,west,west,16,16,0,1,1,1
33.33333,2.832816,15,12,west,west,12,14,0,3,1,1
14.42308,2.561262,10,10,west,west,12,12,1,3,1,1
19.40706,5.545694,16,5,west,west,18,18,0,1,1,1
9.712838,1.859971,12,10,west,west,12,8,0,3,1,1
15.86539,2.638179,11,11,west,west,13,13,0,5,1,1
15.53254,0.4470317,15,7,west,west,18,14,1,2,1,1
13.02932,0.5754567,13,10,west,west,12,12,0,1,1,1
10.09615,0.6807618,12,12,west,west,12,12,0,1,0,1
12.67159,3.054833,15,11,west,west,17,20,0,3,1,1
8.888889,0.8592457,15,11,northeast,west,16,16,1,3,1,1
11.11111,2.605501,12,9,west,west,12,12,0,4,1,1
4.237288,-0.8543364,10,13,west,west,12,12,0,3,1,1
20.49427,1.887446,13,11,west,west,14,12,0,3,1,1
15.38461,4.310818,18,9,west,northeast,15,16,0,5,1,1
11.67883,1.774927,12,9,west,west,13,20,0,2,1,1
4.394939,0.2907195,8,12,west,west,12,12,0,2,1,1
2.030457,-1.271899,10,11,south,west,12,10,1,2,1,1
6.722689,3.666187,12,10,west,west,14,20,0,3,1,1
28.84615,1.433428,14,12,west,west,11,11,0,0,1,1
1.644144,-2.790129,12,13,west,west,12,14,1,5,1,1
11.95402,3.123209,12,8,west,west,12,12,0,2,1,1
4.897959,3.279637,12,11,south,west,13,15,0,1,0,1
15.97633,3.099788,12,11,west,west,12,12,0,1,1,1
4.310345,-0.1814499,12,11,west,west,12,14,1,3,1,1
4.778846,4.23855,12,9,west,west,12,16,0,5,1,1
9.252669,1.802781,12,12,west,west,12,12,0,2,1,1
22.00261,4.080197,16,11,west,west,14,16,0,1,1,1
56.0,3.105009,18,9,west,west,16,16,0,3,1,1
9.0,3.551937,16,5,west,west,12,13,1,2,1,1
8.653846,2.195612,12,15,west,west,18,20,0,5,1,1
11.73512,0.2875164,12,14,northeast,northeast,12,12,0,5,0,1
9.134233,4.371116,12,10,northeast,northeast,10,12,0,1,0,1
5.7692310000000004,-1.130523,12,9,northeast,northeast,8,8,0,3,0,1
11.65791,1.532009,12,11,northeast,northeast,12,12,0,2,0,1
3.556853,-3.292768,12,12,northeast,northeast,8,9,1,3,0,1
5.288462,1.042725,12,10,northeast,northeast,8,9,1,3,0,1
5.836576,-1.592035,12,9,northeast,northeast,8,9,1,3,0,1
7.0,1.254746,12,12,northeast,northeast,12,12,1,2,0,1
9.574468,1.506882,13,9,northeast,northeast,12,14,0,3,0,1
17.09402,3.658343,13,12,northeast,northeast,12,12,0,1,0,1
7.692307,-1.276887,12,14,northeast,northeast,10,9,0,3,0,1
13.46154,0.1500415,12,14,northeast,northeast,11,11,0,2,0,0
18.42105,2.281181,12,14,northeast,northeast,12,12,1,2,0,0
8.031552,3.316141,18,9,south,northeast,16,16,0,2,0,0
17.89709,2.195858,12,12,northeast,northeast,12,12,0,2,0,0
12.01923,-3.348253,12,13,northeast,northeast,12,12,0,3,1,1
12.01923,3.242872,13,12,northeast,northeast,13,13,0,5,1,0
14.81481,2.818164,12,15,northeast,northeast,12,17,0,5,1,1
10.62925,-0.8716548,12,15,northeast,northeast,12,8,1,3,0,1
8.928572,3.549903,12,9,north_central,north_central,12,12,0,4,1,1
8.204412,1.19677,12,10,north_central,north_central,12,12,0,2,1,1
12.45529,0.1726276,13,7,north_central,north_central,12,12,0,2,1,1
16.02564,2.96449,12,15,north_central,north_central,12,10,0,2,1,0
4.909091,1.16373,12,12,north_central,north_central,12,12,0,3,1,0
3.75,-1.544743,12,13,north_central,north_central,17,17,0,1,1,0
4.599816,-1.907367,9,13,west,north_central,12,4,1,4,1,1
8.566533,-0.6717932,12,9,north_central,north_central,12,3,1,4,1,1
